"連江縣","3392469","482679","62966","連江縣","259611","115929","44173","733095","619368","0","113727","連江縣","1499573","278698","19649","656884","544342","284621","1534","連江縣","13274","127017","0","142796","101474","42240","59234","連江縣","41992","41992","0","155808","155808","1500","1500","連江縣","0","32000","32000","0","0","59727","15000","44727",,,,,,,,,,,,
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,,,,,,,,,,,,,
"總  計","831720908","94486555","7334613","總  計","11175906","66324357","9651679","312987679","297523023","16072","15448584","總  計","38975001","10562546","4216231","16377447","7818777","153348090","33827472","總  計","35451522","66259088","980295","16829713","36567399","3083604","33483795","總  計","83011950","83010370","1580","82247772","82247772","13756792","11856463","總  計","1900329","617553","385381","232172","0","15722117","4762636","10959481",,,,,,,,,,,,
"","576677736","65153596","4278722","","6258279","48630649","5985946","219152180","207017365","0","12134815","","28437690","6253772","2909788","14869717","4404413","114908377","32209708","","27176070","44040036","685052","10797511","32095461","2843239","29252222","","44407038","44407038","0","53897338","53897338","8995656","7095327","","1900329","0","0","0","0","9630400","1898000","7732400",,,,,,,,,,,,
"","150258640","11811184","796995","","1681504","7848224","1484461","56458824","51102100","0","5356724","","10667545","2314806","1323093","5932305","1097341","39622197","18724686","","11568144","4444679","380141","4504547","8574666","1207670","7366996","","5685540","5685540","0","12056608","12056608","3704543","3693427","","11116","0","0","0","0","1677533","423000","1254533"
"","119179547","17360310","653478","","1262651","14317838","1126343","39498322","37417033","0","2081289","","5902389","1365602","591408","3227578","717801","20899186","734400","","5772762","12859687","97097","1435240","8841289","397029","8444260","","12980058","12980058","0","10547456","10547456","792999","792999","","0","0","0","0","0","2357538","400000","1957538"
"臺中市","85932042","10816088","766302","臺中市","1202770","7841460","1005556","32174462","30950384","0","1224078","臺中市","3724742","853775","615394","1438123","817450","11631141","680180","臺中市","923848","8999453","18797","1008863","4560296","382486","4177810","臺中市","10218222","10218222","0","9938316","9938316","793000","793000","臺中市","0","0","0","0","0","2075775","300000","1775775"
"臺南市","64209339","8947232","615852","臺南市","669621","6950159","711600","26776506","25970910","0","805596","臺南市","3095288","634577","150302","1631150","679259","9154976","639120","臺南市","957275","6135199","88814","1334568","2875277","212858","2662419","臺南市","4961967","4961967","0","6134356","6134356","1340667","1340667","臺南市","0","0","0","0","0","923070","400000","523070"
"","106427844","11070288","820247","","826869","8391012","1032160","41539213","39571357","0","1967856","","3776898","605624","0","2378595","792679","26175437","10146161","","7463359","6654041","100203","1811673","5385638","447163","4938475","","5255625","5255625","0","9586199","9586199","1898062","8849","","1889213","0","0","0","0","1740484","295000","1445484"
"桃園縣","50670324","5148494","625848","桃園縣","614864","3281956","625826","22704853","22005581","0","699272","桃園縣","1270828","479388","229591","261966","299883","7425440","1285161","桃園縣","490682","4946977","0","702620","1858295","196033","1662262","桃園縣","5305626","5305626","0","5634403","5634403","466385","466385","桃園縣","0","0","0","0","0","856000","80000","776000"
"","255043172","29332959","3055891","","4917627","17693708","3665733","93835499","90505658","16072","3313769","","10537311","4308774","1306443","1507730","3414364","38439713","1617764","","8275452","22219052","295243","6032202","4471938","240365","4231573","","38604912","38603332","1580","28350434","28350434","4761136","4761136","","0","617553","385381","232172","0","6091717","2864636","3227081"
"宜蘭縣","15390654","1551853","173779","宜蘭縣","273163","887636","217275","6207703","5837559","0","370144","宜蘭縣","764397","328868","189290","85859","160380","1992894","111173","宜蘭縣","883518","657645","34753","305805","126073","60439","65634","宜蘭縣","2233001","2233001","0","1755192","1755192","312389","312389","宜蘭縣","0","14450","14450","0","0","432702","135000","297702"
"新竹縣","20037837","2050791","194848","新竹縣","310295","1302262","243386","7243916","7043325","0","200591","新竹縣","1028414","239088","51370","95908","642048","3101108","199716","新竹縣","335519","2184726","46507","334640","264823","0","264823","新竹縣","2728947","2728947","0","1629901","1629901","550841","550841","新竹縣","0","0","0","0","0","1439096","1282636","156460"
"苗栗縣","19448931","2396242","198548","苗栗縣","354162","1569541","273991","7736039","7266431","0","469608","苗栗縣","507648","269211","24018","57947","156472","2889273","45600","苗栗縣","342938","1951809","13157","535769","137899","12396","125503","苗栗縣","2712646","2712646","0","2077234","2077234","650000","650000","苗栗縣","0","51750","0","51750","0","290200","200000","90200"
"彰化縣","32807384","2827122","253009","彰化縣","365403","1784682","424028","14303643","13957337","0","346306","彰化縣","892808","395505","56252","132989","308062","4653254","263247","彰化縣","292495","3502262","42475","552775","184911","20124","164787","彰化縣","4848000","4848000","0","3843260","3843260","532221","532221","彰化縣","0","60412","60412","0","0","661753","100000","561753"
"南投縣","17996878","2005490","233302","南投縣","331135","1181967","259086","7294780","7214669","0","80111","南投縣","377237","180748","103985","6698","85806","2314838","117238","南投縣","1204273","595215","5108","393004","152775","5551","147224","南投縣","2829200","2829200","0","2212574","2212574","390984","390984","南投縣","0","39000","39000","0","0","380000","150000","230000"
"雲林縣","22755749","2057180","234863","雲林縣","304933","1220350","297034","8444418","8172994","0","271424","雲林縣","902796","710806","88637","27535","75818","4075684","82813","雲林縣","579066","2977522","0","436283","125289","7171","118118","雲林縣","3717641","3717641","0","2297640","2297640","649734","649734","雲林縣","0","77250","77250","0","0","408117","0","408117"
"嘉義縣","18847720","1958260","206618","嘉義縣","371728","1143863","236051","6462500","6349090","0","113410","嘉義縣","510141","246449","15329","44466","203897","3053381","42140","嘉義縣","142801","2402393","9954","456093","112860","0","112860","嘉義縣","3875897","3875897","0","1979429","1979429","488000","488000","嘉義縣","0","122252","21752","100500","0","285000","0","285000"
"屏東縣","25951501","2918161","290891","屏東縣","376690","1914808","335772","10077014","9875835","0","201179","屏東縣","650965","348995","99923","97930","104117","4017733","143394","屏東縣","2373666","588192","54501","857980","326714","6581","320133","屏東縣","4547413","4547413","0","2729731","2729731","300000","300000","屏東縣","0","101767","101767","0","0","282003","30000","252003"
"臺東縣","11824106","1671822","185798","臺東縣","322175","1003595","160254","3761331","3628601","0","132730","臺東縣","488800","221723","44195","50169","172713","1957539","47757","臺東縣","514126","958828","4205","432623","147674","1766","145908","臺東縣","1938568","1938568","0","1560372","1560372","100000","100000","臺東縣","0","1000","1000","0","0","197000","0","197000"
"花蓮縣","14246275","1844386","192849","花蓮縣","283922","1116827","250788","5194697","5073642","0","121055","花蓮縣","575745","252489","35173","62461","225622","1992714","100008","花蓮縣","251253","1283439","6453","351561","212894","11949","200945","花蓮縣","2183909","2183909","0","1827969","1827969","237961","237961","花蓮縣","0","0","0","0","0","176000","50000","126000"
"澎湖縣","6918454","917556","136507","澎湖縣","180417","464217","136415","1840858","1673341","16072","151445","澎湖縣","569128","192209","84124","0","292795","1163661","71934","澎湖縣","177157","633619","5375","275576","171074","7814","163260","澎湖縣","849489","849489","0","1181308","1181308","21000","21000","澎湖縣","0","69750","69750","0","0","134630","47000","87630"
"基隆市","14043787","2132220","195909","基隆市","320183","1321738","294390","4340086","4198822","0","141264","基隆市","531139","94951","43450","214931","177807","2135740","302050","基隆市","242544","1299320","13662","278164","812806","41599","771207","基隆市","1950086","1950086","0","1791470","1791470","196240","196240","基隆市","0","0","0","0","0","154000","20000","134000"
"新竹市","15230523","1707071","176078","新竹市","250978","1029539","250476","5130805","4926696","0","204109","新竹市","467278","45876","115140","93132","213130","2148844","41288","新竹市","164164","1727137","49031","167224","880856","36150","844706","新竹市","2190967","2190967","0","1497066","1497066","250000","250000","新竹市","0","0","0","0","0","957636","800000","157636"
"嘉義市","9834360","1459549","166543","嘉義市","225148","851585","216273","3272694","3096527","0","176167","嘉義市","312081","25083","23436","125509","138053","1193192","2929","嘉義市","691204","364359","10062","124638","530387","12236","518151","嘉義市","1501200","1501200","0","1271191","1271191","80266","80266","嘉義市","0","0","0","0","0","213800","15000","198800"
"金門縣","7734763","1392875","154443","金門縣","399695","792241","46496","1956175","1708215","0","247960","金門縣","1537669","644705","312472","187890","392602","1484717","44943","金門縣","67454","966826","0","405494","225080","0","225080","金門縣","455956","454376","1580","544369","544369","0","0","金門縣","0","79922","0","79922","0","58000","30000","28000"
"連江縣","1974250","442381","61906","連江縣","247600","108857","24018","568840","482574","0","86266","連江縣","421065","112068","19649","224306","65042","265141","1534","連江縣","13274","125760","0","124573","59823","16589","43234","連江縣","41992","41992","0","151728","151728","1500","1500","連江縣","0","0","0","0","0","21780","5000","16780"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","194477840","17603922","795860","總  計","1217014","15025242","565806","30995227","21186974","0","9808253","總  計","110093754","24817114","14066229","62474547","8735864","2056401","0","總  計","0","1020550","45119","990732","20767490","6993474","13774016","總  計","0","0","0","3932813","3932813","0","0","總  計","0","32000","32000","0","0","8996233","1112000","7884233"
"","136459963","14311714","192580","","772586","12930215","416333","21492361","13942293","0","7550068","","73151482","17066347","10624240","43868218","1592677","1402911","0","","0","790708","36669","575534","17448321","5822482","11625839","","0","0","0","2986174","2986174","0","0","","0","0","0","0","0","5667000","882000","4785000"
"","23669497","1315274","18172","","180228","1056933","59941","7190428","3946821","0","3243607","","9758159","3091806","269369","6352769","44215","550747","0","","0","379790","32484","138473","2954118","779431","2174687","","0","0","0","923771","923771","0","0","","0","0","0","0","0","977000","477000","500000"
"","36236815","3920855","14313","","92056","3561647","252839","5261948","3351494","0","1910454","","21999809","3432539","10096844","8272865","197561","459307","0","","0","279565","940","178802","2732853","167736","2565117","","0","0","0","562043","562043","0","0","","0","0","0","0","0","1300000","0","1300000"
"臺中市","21624273","1529675","93735","臺中市","51832","1367940","16168","2162602","1463680","0","698922","臺中市","12552331","1673743","143812","10294753","440023","61165","0","臺中市","0","33594","578","26993","3563656","1902044","1661612","臺中市","0","0","0","574844","574844","0","0","臺中市","0","0","0","0","0","1180000","200000","980000"
"臺南市","22717027","5115568","8136","臺南市","69534","4970712","67186","2388498","1815008","0","573490","臺南市","13756260","6845798","9068","6604992","296402","52619","0","臺南市","0","33485","2178","16956","327426","251811","75615","臺南市","0","0","0","286656","286656","0","0","臺南市","0","0","0","0","0","790000","0","790000"
"","19954675","1890071","35164","","263619","1582236","9052","2176542","1422804","0","753738","","7274941","379526","0","6479676","415739","232025","0","","0","46836","489","184700","7290503","2680034","4610469","","0","0","0","300593","300593","0","0","","0","0","0","0","0","790000","205000","585000"
"桃園縣","12257676","540271","23060","桃園縣","115317","390747","11147","2312343","1942486","0","369857","桃園縣","7809982","1642935","105147","5863163","198737","47048","0","桃園縣","0","17438","0","29610","579765","41426","538339","桃園縣","0","0","0","338267","338267","0","0","桃園縣","0","0","0","0","0","630000","0","630000"
"","58017877","3292208","603280","","444428","2095027","149473","9502866","7244681","0","2258185","","36942272","7750767","3441989","18606329","7143187","653490","0","","0","229842","8450","415198","3319169","1170992","2148177","","0","0","0","946639","946639","0","0","","0","32000","32000","0","0","3329233","230000","3099233"
"宜蘭縣","3224932","407224","1750","宜蘭縣","65008","337131","3335","512525","450957","0","61568","宜蘭縣","1346949","360317","63413","746676","176543","36303","0","宜蘭縣","0","9370","0","26933","680700","673813","6887","宜蘭縣","0","0","0","54319","54319","0","0","宜蘭縣","0","0","0","0","0","186912","0","186912"
"新竹縣","4983241","85606","4548","新竹縣","36931","37418","6709","1171851","1114249","0","57602","新竹縣","3110190","113412","32380","2036624","927774","12679","0","新竹縣","0","7893","0","4786","239465","0","239465","新竹縣","0","0","0","112450","112450","0","0","新竹縣","0","0","0","0","0","251000","0","251000"
"苗栗縣","6884199","344911","7763","苗栗縣","7435","321976","7737","1205364","953136","0","252228","苗栗縣","3693358","868723","0","2389454","435181","198601","0","苗栗縣","0","11000","8080","179521","1083617","447528","636089","苗栗縣","0","0","0","95016","95016","0","0","苗栗縣","0","0","0","0","0","263332","0","263332"
"彰化縣","7035287","368621","243900","彰化縣","36420","83846","4455","1257345","987777","0","269568","彰化縣","4830948","1000766","0","3286529","543653","38951","0","彰化縣","0","30389","0","8562","62830","3000","59830","彰化縣","0","0","0","77592","77592","0","0","彰化縣","0","0","0","0","0","399000","0","399000"
"南投縣","2303122","362018","268650","南投縣","33538","54619","5211","102436","51315","0","51121","南投縣","1520778","100389","655642","764747","0","16170","0","南投縣","0","0","0","16170","9300","0","9300","南投縣","0","0","0","89420","89420","0","0","南投縣","0","0","0","0","0","203000","0","203000"
"雲林縣","5030251","147616","5385","雲林縣","15530","115630","11071","594510","299541","0","294969","雲林縣","3803000","1801693","385","979318","1021604","7154","0","雲林縣","0","0","0","7154","45012","17500","27512","雲林縣","0","0","0","75099","75099","0","0","雲林縣","0","0","0","0","0","357860","80000","277860"
"嘉義縣","2552280","160199","10914","嘉義縣","79105","60205","9975","365483","331793","0","33690","嘉義縣","1627683","750554","8600","799124","69405","31616","0","嘉義縣","0","2461","0","29155","25369","0","25369","嘉義縣","0","0","0","47930","47930","0","0","嘉義縣","0","0","0","0","0","294000","80000","214000"
"屏東縣","4624499","322359","4550","屏東縣","9803","296006","12000","1228037","503302","0","724735","屏東縣","2625703","1367567","619617","519068","119451","16989","0","屏東縣","0","3300","170","13519","59134","0","59134","屏東縣","0","0","0","66025","66025","0","0","屏東縣","0","0","0","0","0","306252","0","306252"
"臺東縣","2571554","207892","14500","臺東縣","23750","147898","21744","387926","288726","0","99200","臺東縣","1696808","371938","0","450412","874458","30841","0","臺東縣","0","800","0","30041","5700","0","5700","臺東縣","0","0","0","37387","37387","0","0","臺東縣","0","0","0","0","0","205000","60000","145000"
"花蓮縣","3095548","161668","18365","花蓮縣","7707","124447","11149","370755","354710","0","16045","花蓮縣","2317157","246945","173861","509870","1386481","11952","0","花蓮縣","0","4577","0","7375","11337","1500","9837","花蓮縣","0","0","0","48679","48679","0","0","花蓮縣","0","0","0","0","0","174000","0","174000"
"澎湖縣","2514344","54458","8420","澎湖縣","13068","30187","2783","155702","79465","0","76237","澎湖縣","2061550","179852","1573363","308335","0","55737","0","澎湖縣","0","47305","0","8432","68647","0","68647","澎湖縣","0","0","0","23250","23250","0","0","澎湖縣","0","0","0","0","0","95000","0","95000"
"基隆市","2908210","264015","4832","基隆市","35860","207468","15855","533928","486677","0","47251","基隆市","1827713","27617","81187","1416909","302000","24494","0","基隆市","0","6031","0","18463","26225","0","26225","基隆市","0","0","0","60835","60835","0","0","基隆市","0","0","0","0","0","171000","0","171000"
"新竹市","2833898","176630","1277","新竹市","15446","149786","10121","553310","542824","0","10486","新竹市","1434106","47773","222545","1050221","113567","14517","0","新竹市","0","12602","200","1715","452515","2000","450515","新竹市","0","0","0","20820","20820","0","0","新竹市","0","0","0","0","0","182000","0","182000"
"嘉義市","1770247","71706","4434","嘉義市","12570","49702","5000","328357","286709","0","41648","嘉義市","1222066","0","0","1026096","195970","19628","0","嘉義市","0","1322","0","18306","13880","0","13880","嘉義市","0","0","0","27010","27010","0","0","嘉義市","0","0","0","0","0","87600","0","87600"
"金門縣","4268046","116987","2932","金門縣","40246","71636","2173","571082","376706","0","194376","金門縣","2745755","346591","10996","1890368","497800","118378","0","金門縣","0","91535","0","26843","493787","0","493787","金門縣","0","0","0","106727","106727","0","0","金門縣","0","0","0","0","0","115330","0","115330"
"連江縣","1418219","40298","1060","連江縣","12011","7072","20155","164255","136794","0","27461","連江縣","1078508","166630","0","432578","479300","19480","0","連江縣","0","1257","0","18223","41651","25651","16000","連江縣","0","0","0","4080","4080","0","0","連江縣","0","32000","32000","0","0","37947","10000","27947"

