,"各縣(市)總預算",,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,
,"歲出政事別預算總表",,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7(Œ~	N)7(Œ~ÛV)7(Œ~”N)7-NïƒlW98t^¦^7-NïƒlW798t^¦^7N,‚?e
ÙR/eúQЀ7?e
kLˆ
"彰化縣","39678361","2934124","256842","彰化縣","428355","1826310","422617","13432659","12977088","0","455571","彰化縣","8687161","2866857","69881","3257105","2493318","4648469","627316","彰化縣","358569","3098622","38931","525031","387080","197483","189597","彰化縣","4394394","4394394","0","3863245","3863245","499312","499312","彰化縣","0","64617","64617","0","0","767300","100000","667300"
"雲林縣","26616000","2167343","225071","雲林縣","300967","1340044","301261","7855705","7222605","0","633100","雲林縣","6136782","2802188","78625","1674149","1581820","2976395","0","雲林縣","444746","2149578","0","382071","333488","7064","326424","雲林縣","3473301","3473301","0","2270896","2270896","794060","794060","雲林縣","0","71000","71000","0","0","537030","60000","477030"
"嘉義縣","20768743","2014774","202350","嘉義縣","376251","1187329","248844","8607224","8430545","0","176679","嘉義縣","3096531","1336668","79858","1530659","149346","3081912","387204","嘉義縣","0","2297014","7628","390066","149533","0","149533","嘉義縣","819241","819241","0","1903600","1903600","490068","490068","嘉義縣","0","123160","16160","107000","0","482700","80000","402700"
"臺南縣","30073354","3462023","216367","臺南縣","394170","2090282","761204","9843659","9533812","0","309847","臺南縣","3045872","1622916","53606","1066511","302839","3726976","822586","臺南縣","141956","2232498","3010","526926","473951","189679","284272","臺南縣","4849713","4849713","0","3240980","3240980","754848","754848","臺南縣","0","84000","0","84000","0","591332","45000","546332"
"高雄縣","32219635","3406507","329369","高雄縣","477176","2120756","479206","12804856","12358100","0","446756","高雄縣","1955982","767961","463082","639866","85073","4264383","574655","高雄縣","0","3077055","0","612673","1036890","124504","912386","高雄縣","3378805","3378805","0","3931690","3931690","575175","575175","高雄縣","0","3000","0","3000","0","862347","250000","612347"
"屏東縣","28342451","2797272","276596","屏東縣","362226","1827297","331153","12382597","11945522","0","437075","屏東縣","3230942","1682971","146581","1149024","252366","4994431","1632577","屏東縣","774707","1886330","32910","667907","423971","545","423426","屏東縣","629206","629206","0","2709063","2709063","555352","555352","屏東縣","0","96000","96000","0","0","523617","30000","493617"
"臺東縣","13416728","1531242","198369","臺東縣","291265","885929","155679","4982398","4782150","0","200248","臺東縣","2053802","522951","10389","317880","1202582","1847189","235701","臺東縣","314428","885523","3936","407601","178991","1469","177522","臺東縣","845517","845517","0","1552488","1552488","180000","180000","臺東縣","0","0","0","0","0","245101","20000","225101"
"花蓮縣","16042689","1817702","192012","花蓮縣","295359","1074627","255704","4998215","4755097","0","243118","花蓮縣","2735892","437045","74967","555020","1668860","1841055","292307","花蓮縣","822275","414001","7720","304752","283342","15354","267988","花蓮縣","1766430","1766430","0","1860053","1860053","381000","381000","花蓮縣","0","0","0","0","0","359000","50000","309000"
"澎湖縣","7785618","948812","135736","澎湖縣","171298","514146","127632","1850587","1660448","8377","181762","澎湖縣","1409650","359023","403027","405881","241719","1092161","56900","澎湖縣","230381","558570","5316","240994","308865","8650","300215","澎湖縣","685900","685900","0","1176233","1176233","34000","34000","澎湖縣","0","84000","84000","0","0","195410","42000","153410"
"基隆市","20551849","2817199","201482","基隆市","393785","1923008","298924","4754661","4445208","0","309453","基隆市","5442528","319028","159305","4430730","533465","2229559","11298","基隆市","267001","1644289","14787","292184","947273","42200","905073","基隆市","1713608","1713608","0","2025021","2025021","230000","230000","基隆市","0","0","0","0","0","392000","20000","372000"
"新竹市","17141300","1757669","195722","新竹市","289056","1011274","261617","4895787","4665956","0","229831","新竹市","2541059","371930","602154","1211866","355109","2040354","29418","新竹市","105910","1738948","48755","117323","1265676","41476","1224200","新竹市","1984092","1984092","0","1535427","1535427","400000","400000","新竹市","0","0","0","0","0","721236","400000","321236"
"臺中市","35569935","4043556","286555","臺中市","687657","2567998","501346","11301703","10811858","0","489845","臺中市","5401503","944114","400452","3343931","713006","2961000","517","臺中市","469962","2232271","0","258250","2030883","16860","2014023","臺中市","4154318","4154318","0","4746457","4746457","227515","227515","臺中市","0","0","0","0","0","703000","70000","633000"
"嘉義市","11543598","1512439","165617","嘉義市","212015","911250","223557","3166954","2919159","0","247795","嘉義市","2463391","23854","15531","1160088","1263918","1035754","23090","嘉義市","575083","312037","9076","116468","496819","9978","486841","嘉義市","1309800","1309800","0","1195981","1195981","124060","124060","嘉義市","0","0","0","0","0","238400","15000","223400"
"臺南市","27077782","3235927","263344","臺南市","273570","2346307","352706","8153714","7073860","0","1079854","臺南市","4554942","900023","268349","2558733","827837","2001175","71852","臺南市","1077","1664985","0","263261","1355131","69139","1285992","臺南市","3176888","3174363","2525","3047305","3047305","812000","812000","臺南市","0","0","0","0","0","740700","40000","700700"
"金門縣","11726509","1370531","159484","金門縣","429767","679817","101463","2429618","2040487","0","389131","金門縣","4660247","1144174","268958","2718725","528390","1317151","41502","金門縣","91884","927465","0","256300","716804","0","716804","金門縣","499420","498000","1420","482663","482663","0","0","金門縣","0","85351","0","85351","0","164724","20000","144724"
"連江縣","2565649","497755","65599","連江縣","263767","149856","18533","588126","464274","0","123852","連江縣","712319","304480","7721","224266","175852","309685","1715","連江縣","0","46289","0","261681","190474","96080","94394","連江縣","33400","33400","0","161501","161501","3000","3000","連江縣","0","14250","14250","0","0","55139","15000","40139"
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,
"總  計","410716103","48808091","4690887","總  計","8168112","29427345","6521747","156940487","152334213","8377","4597897","總  計","14853649","6114611","1747765","2986414","4004859","56337186","6498591","總  計","7700017","34193124","193279","7752175","9737934","411039","9326895","總  計","53300505","53296560","3945","52059474","52059474","10727776","10727776","總  計","0","686628","376777","309851","0","7264373","1969800","5294573",,
"宜蘭縣","23058518","2968592","253739","宜蘭縣","891009","1457331","366513","5599464","5106967","0","492497","宜蘭縣","1738638","500983","195592","406973","635090","3158146","341035","宜蘭縣","794578","1575724","0","446809","219904","51582","168322","宜蘭縣","5152073","5152073","0","2782516","2782516","611598","611598","宜蘭縣","0","15500","15500","0","0","812087","81700","730387"
"桃園縣","41224524","4410002","350083","桃園縣","839545","2718030","502344","19594165","19360033","0","234132","桃園縣","483515","191811","63073","65126","163505","4792508","173975","桃園縣","674430","3498230","0","445873","356341","6055","350286","桃園縣","4699621","4699621","0","4973372","4973372","1090000","1090000","桃園縣","0","0","0","0","0","825000","80000","745000"
"新竹縣","15740123","2029392","174950","新竹縣","319417","1253709","281316","6342036","6160971","0","181065","新竹縣","459989","247157","46382","74181","92269","665252","106000","新竹縣","64516","166312","0","328424","306671","1629","305042","新竹縣","2624309","2624309","0","1658134","1658134","1014110","1014110","新竹縣","0","0","0","0","0","640230","461100","179130"
"苗栗縣","7005989","1997587","170773","苗栗縣","345790","1218598","262426","378002","89475","0","288527","苗栗縣","356802","196940","23676","41667","94519","727193","212300","苗栗縣","0","123719","15563","375611","100119","6096","94023","苗栗縣","563740","563740","0","2036046","2036046","450000","450000","苗栗縣","0","30500","0","30500","0","366000","200000","166000"
"臺中縣","34587914","3364657","329360","臺中縣","417593","2114228","503476","15712917","15427405","0","285512","臺中縣","602770","210555","23146","206027","163042","4852187","293045","臺中縣","371992","3674396","0","512754","824948","0","824948","臺中縣","3692336","3692336","0","4057981","4057981","1023100","1023100","臺中縣","0","0","0","0","0","457018","100000","357018"
"南投縣","17850349","1989477","233516","南投縣","321963","1184924","249074","6792929","6687945","0","104984","南投縣","400783","187155","99309","2223","112096","2622387","563598","南投縣","1196522","486052","5847","370368","190218","5622","184596","南投縣","2854393","2854393","0","2203488","2203488","478578","478578","南投縣","0","29500","29500","0","0","288596","140000","148596"
"彰化縣","29624941","2762404","249842","彰化縣","348810","1750135","413617","12184797","11869349","0","315448","彰化縣","978542","635614","69881","34431","238616","4436544","627316","彰化縣","358569","2934247","38931","477481","170871","31858","139013","彰化縣","4394394","4394394","0","3763160","3763160","499312","499312","彰化縣","0","64617","64617","0","0","370300","100000","270300"
"雲林縣","20076053","2020468","222394","雲林縣","295133","1211178","291763","7092455","6906567","0","185888","雲林縣","1067994","876876","68370","23820","98928","2957944","0","雲林縣","444746","2137078","0","376120","170497","7064","163433","雲林縣","3473301","3473301","0","2217464","2217464","794060","794060","雲林縣","0","71000","71000","0","0","210870","0","210870"
"嘉義縣","17345694","1876772","193800","嘉義縣","314316","1137662","230994","8311250","8193924","0","117326","嘉義縣","509114","244122","73758","105126","86108","3065250","387204","嘉義縣","0","2295500","7628","374918","92118","0","92118","嘉義縣","819241","819241","0","1863721","1863721","490068","490068","嘉義縣","0","123160","16160","107000","0","195000","0","195000"
"臺南縣","25754932","2864520","213977","臺南縣","385320","1835059","430164","9298434","9128803","0","169631","臺南縣","517803","275966","53606","30629","157602","3724146","822586","臺南縣","141956","2230528","3010","526066","214948","49099","165849","臺南縣","4849713","4849713","0","3129520","3129520","754848","754848","臺南縣","0","84000","0","84000","0","317000","45000","272000"
"高雄縣","28708220","3106467","287444","高雄縣","435645","1915293","468085","11755229","11555589","0","199640","高雄縣","573503","266331","108408","113771","84993","4188195","574655","高雄縣","0","3011580","0","601960","891490","123459","768031","高雄縣","3378805","3378805","0","3834009","3834009","575175","575175","高雄縣","0","3000","0","3000","0","402347","70000","332347"
"屏東縣","24391346","2650626","269496","屏東縣","358926","1695551","326653","11803979","11587424","0","216555","屏東縣","463978","257537","88671","54949","62821","4968012","1632577","屏東縣","774707","1883010","32910","644808","328385","545","327840","屏東縣","629206","629206","0","2655769","2655769","555352","555352","屏東縣","0","96000","96000","0","0","240039","30000","210039"
"臺東縣","11113742","1385516","182829","臺東縣","274340","773272","155075","4696772","4573088","0","123684","臺東縣","324543","167826","10389","29420","116908","1789413","235701","臺東縣","314428","873293","3936","362055","129792","1469","128323","臺東縣","845517","845517","0","1537088","1537088","180000","180000","臺東縣","0","0","0","0","0","225101","0","225101"
"花蓮縣","12873260","1681301","170351","花蓮縣","288079","974322","248549","4533515","4416433","0","117082","花蓮縣","460986","247303","72362","41984","99337","1822170","292307","花蓮縣","822275","410874","7720","288994","244633","12854","231779","花蓮縣","1766430","1766430","0","1785225","1785225","381000","381000","花蓮縣","0","0","0","0","0","198000","50000","148000"
"澎湖縣","6381209","908947","131231","澎湖縣","158777","492363","126576","1697623","1565421","8377","123825","澎湖縣","480231","163050","75462","0","241719","1076273","56900","澎湖縣","230381","554631","5316","229045","151970","6650","145320","澎湖縣","685900","685900","0","1146855","1146855","34000","34000","澎湖縣","0","84000","84000","0","0","115410","42000","73410"
"基隆市","13697338","2170321","188732","基隆市","332543","1355498","293548","4054833","3897220","0","157613","基隆市","522161","104698","43395","207133","166935","2187397","11298","基隆市","267001","1623419","14787","270892","835533","38768","796765","基隆市","1713608","1713608","0","1798485","1798485","230000","230000","基隆市","0","0","0","0","0","185000","20000","165000"
"新竹市","13946155","1614410","152992","新竹市","282204","921544","257670","4489310","4288921","0","200389","新竹市","548668","155872","104596","93131","195069","2021762","29418","新竹市","105910","1721576","48555","116303","847366","32476","814890","新竹市","1984092","1984092","0","1490811","1490811","400000","400000","新竹市","0","0","0","0","0","549736","400000","149736"
"臺中市","29552585","3549778","284160","臺中市","477258","2303646","484714","10627870","10334603","0","293267","臺中市","1479189","187799","176002","648690","466698","2891451","517","臺中市","469962","2180523","0","240449","1722323","16860","1705463","臺中市","4154318","4154318","0","4527141","4527141","227515","227515","臺中市","0","0","0","0","0","373000","70000","303000"
"嘉義市","8743559","1430444","157817","嘉義市","194251","858519","219857","2800309","2639053","0","161256","嘉義市","268509","23854","15531","118495","110629","1029816","23090","嘉義市","575083","309485","9076","113082","472080","9978","462102","嘉義市","1309800","1309800","0","1153741","1153741","124060","124060","嘉義市","0","0","0","0","0","154800","15000","139800"
"臺南市","20459742","2520749","260318","臺南市","244020","1669925","346486","6803835","6494086","0","309749","臺南市","884183","148287","67129","300302","368465","1964139","71852","臺南市","1077","1632307","0","258903","1203499","895","1202604","臺南市","3176888","3174363","2525","2828749","2828749","812000","812000","臺南市","0","0","0","0","0","265700","40000","225700"
"金門縣","6859929","1070533","155094","金門縣","390532","480453","44454","1909652","1644547","0","265105","金門縣","1375194","716729","261306","170980","226179","1191134","41502","金門縣","91884","824955","0","232793","210982","0","210982","金門縣","499420","498000","1420","469663","469663","0","0","金門縣","0","85351","0","85351","0","48000","20000","28000"
"連江縣","1719981","435128","57989","連江縣","252641","106105","18393","461111","406389","0","54722","連江縣","356554","108146","7721","217356","23331","205867","1715","連江縣","0","45685","0","158467","53246","8080","45166","連江縣","33400","33400","0","146536","146536","3000","3000","連江縣","0","0","0","0","0","25139","5000","20139"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","121590013","8334670","528929","總  計","2361946","4914040","529755","27686619","22166791","0","5519828","總  計","63891323","15217344","2370235","33381654","12922090","6522006","0","總  計","0","5926380","240","595386","7288310","1360553","5927757","總  計","0","0","0","2241539","2241539","0","0","總  計","0","14250","14250","0","0","5611296","350000","5261296",
"宜蘭縣","3390296","303579","1770","宜蘭縣","112636","186573","2600","743349","429833","0","313516","宜蘭縣","1332675","325794","17750","441701","547430","46649","0","宜蘭縣","0","30022","0","16627","592209","562720","29489","宜蘭縣","0","0","0","106835","106835","0","0","宜蘭縣","0","0","0","0","0","265000","0","265000"
"桃園縣","11155663","667990","73980","桃園縣","11641","573482","8887","3977075","2747856","0","1229219","桃園縣","4199855","1115573","45015","2201230","838037","124537","0","桃園縣","0","5471","0","119066","1442835","53350","1389485","桃園縣","0","0","0","219371","219371","0","0","桃園縣","0","0","0","0","0","524000","0","524000"
"新竹縣","12268802","1988202","9750","新竹縣","1588674","389458","320","2319493","2083278","0","236215","新竹縣","2542067","207038","147329","1029195","1158505","3452771","0","新竹縣","0","3432133","0","20638","1481043","0","1481043","新竹縣","0","0","0","205136","205136","0","0","新竹縣","0","0","0","0","0","280090","0","280090"
"苗栗縣","17525920","507952","168820","苗栗縣","14840","315761","8531","9949700","9340433","0","609267","苗栗縣","3962627","788648","0","2569183","604796","1976190","0","苗栗縣","0","1931329","40","44821","772606","246074","526532","苗栗縣","0","0","0","116525","116525","0","0","苗栗縣","0","0","0","0","0","240320","0","240320"
"","5111286","519155","77710","臺中縣","12344","407401","21700","769626","708623","0","61003","臺中縣","3077302","635533","300","2299309","142160","61460","0","臺中縣","0","30641","0","30819","98171","1000","97171","臺中縣","0","0","0","188580","188580","0","0","臺中縣","0","0","0","0","0","396992","0","396992"
"南投縣","2266531","81301","4850","南投縣","7922","65660","2869","399887","272016","0","127871","南投縣","1459346","318585","353942","786819","0","12263","0","南投縣","0","0","0","12263","62008","16983","45025","南投縣","0","0","0","50426","50426","0","0","南投縣","0","0","0","0","0","201300","0","201300"
"彰化縣","10053420","171720","7000","彰化縣","79545","76175","9000","1247862","1107739","0","140123","彰化縣","7708619","2231243","0","3222674","2254702","211925","0","彰化縣","0","164375","0","47550","216209","165625","50584","彰化縣","0","0","0","100085","100085","0","0","彰化縣","0","0","0","0","0","397000","0","397000"
"雲林縣","6539947","146875","2677","雲林縣","5834","128866","9498","763250","316038","0","447212","雲林縣","5068788","1925312","10255","1650329","1482892","18451","0","雲林縣","0","12500","0","5951","162991","0","162991","雲林縣","0","0","0","53432","53432","0",,"雲林縣","0","0","0","0","0","326160","60000","266160"
"嘉義縣","3423049","138002","8550","嘉義縣","61935","49667","17850","295974","236621","0","59353","嘉義縣","2587417","1092546","6100","1425533","63238","16662","0","嘉義縣","0","1514","0","15148","57415","0","57415","嘉義縣","0","0","0","39879","39879","0","0","嘉義縣","0","0","0","0","0","287700","80000","207700"
"臺南縣","4318422","597503","2390","臺南縣","8850","255223","331040","545225","405009","0","140216","臺南縣","2528069","1346950","0","1035882","145237","2830","0","臺南縣","0","1970","0","860","259003","140580","118423","臺南縣","0","0","0","111460","111460","0","0","臺南縣","0","0","0","0","0","274332","0","274332"
"高雄縣","3511415","300040","41925","高雄縣","41531","205463","11121","1049627","802511","0","247116","高雄縣","1382479","501630","354674","526095","80","76188","0","高雄縣","0","65475",,"10713","145400","1045","144355","高雄縣","0","0","0","97681","97681","0","0","高雄縣","0","0","0","0","0","460000","180000","280000"
"屏東縣","3951105","146646","7100","屏東縣","3300","131746","4500","578618","358098","0","220520","屏東縣","2766964","1425434","57910","1094075","189545","26419","0","屏東縣","0","3320","0","23099","95586","0","95586","屏東縣","0","0","0","53294","53294","0","0","屏東縣","0","0","0","0","0","283578","0","283578"
"臺東縣","2302986","145726","15540","臺東縣","16925","112657","604","285626","209062","0","76564","臺東縣","1729259","355125","0","288460","1085674","57776","0","臺東縣","0","12230","0","45546","49199","0","49199","臺東縣","0","0","0","15400","15400","0","0","臺東縣","0","0","0","0","0","20000","20000","0"
"花蓮縣","3169429","136401","21661","花蓮縣","7280","100305","7155","464700","338664","0","126036","花蓮縣","2274906","189742","2605","513036","1569523","18885","0","花蓮縣","0","3127","0","15758","38709","2500","36209","花蓮縣","0","0","0","74828","74828","0","0","花蓮縣","0","0","0","0","0","161000","0","161000"
"澎湖縣","1404409","39865","4505","澎湖縣","12521","21783","1056","152964","95027","0","57937","澎湖縣","929419","195973","327565","405881","0","15888","0","澎湖縣","0","3939","0","11949","156895","2000","154895","澎湖縣","0","0","0","29378","29378","0","0","澎湖縣","0","0","0","0","0","80000","0","80000"
"基隆市","6854511","646878","12750","基隆市","61242","567510","5376","699828","547988","0","151840","基隆市","4920367","214330","115910","4223597","366530","42162","0","基隆市","0","20870","0","21292","111740","3432","108308","基隆市","0","0","0","226536","226536","0","0","基隆市","0","0","0","0","0","207000","0","207000"
"新竹市","3195145","143259","42730","新竹市","6852","89730","3947","406477","377035","0","29442","新竹市","1992391","216058","497558","1118735","160040","18592","0","新竹市","0","17372","200","1020","418310","9000","409310","新竹市","0","0","0","44616","44616","0","0","新竹市","0","0","0","0","0","171500","0","171500"
"臺中市","6017350","493778","2395","臺中市","210399","264352","16632","673833","477255","0","196578","臺中市","3922314","756315","224450","2695241","246308","69549","0","臺中市","0","51748","0","17801","308560","0","308560","臺中市","0","0","0","219316","219316","0","0","臺中市","0","0","0","0","0","330000","0","330000"
"嘉義市","2800039","81995","7800","嘉義市","17764","52731","3700","366645","280106","0","86539","嘉義市","2194882","0","0","1041593","1153289","5938","0","嘉義市","0","2552","0","3386","24739","0","24739","嘉義市","0","0","0","42240","42240","0","0","嘉義市","0","0","0","0","0","83600","0","83600"
"臺南市","6618040","715178","3026","臺南市","29550","676382","6220","1349879","579774","0","770105","臺南市","3670759","751736","201220","2258431","459372","37036","0","","0","32678","0","4358","151632","68244","83388","臺南市","0","0","0","218556","218556","0","0","臺南市","0","0","0","0","0","475000","0","475000"
"金門縣","4866580","299998","4390","金門縣","39235","199364","57009","519966","395940","0","124026","金門縣","3285053","427445","7652","2547745","302211","126017","0","金門縣","0","102510","0","23507","505822","0","505822","金門縣","0","0","0","13000","13000","0","0","金門縣","0","0","0","0","0","116724","0","116724"
"連江縣","845668","62627","7610","連江縣","11126","43751","140","127015","57885","0","69130","連江縣","355765","196334","0","6910","152521","103818","0","連江縣","0","604","0","103214","137228","88000","49228","連江縣","0","0","0","14965","14965","0","0","連江縣","0","14250","14250","0","0","30000","10000","20000"

