,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,,"各縣(市)",,,
,,,"歲出政事別","預算總表",,,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7(Œ~	N)7(Œ~ÛV)7-NïƒlW7]NASNt^¦^7N,‚?e
ÙR/eúQ7?e
kLˆ
"臺中縣","29686058","3119718","370631","322351","1851353","575383","14075670","臺中縣","13823704","0","251966","491541","165090","124371","132141","臺中縣","69939","3162606","322272","301617","2056823","0","481894","臺中縣","1577853","0","1577853","1842399","1842399","0","3153637","臺中縣","3153637","890310","890310","0","0","0","0","臺中縣","0","1372324","50000","1322324"
"南投縣","17000346","2208280","250449","283913","1339693","334225","6062614","南投縣","5892132","0","170482","1919690","570058","819894","436565","南投縣","93173","2190736","279956","40968","1358483","1971","509358","南投縣","104039","1387","102652","1739289","1739289","0","1953510","南投縣","1953510","437689","437689","0","38000","38000","0","南投縣","0","346499","24000","322499"
"彰化縣","28575282","2775540","288990","292024","1661445","533081","12258023","彰化縣","11699242","0","558781","2960584","466692","29207","1544228","彰化縣","920457","2670210","16719","12992","2182676","36943","420880","彰化縣","144668","8006","136662","2861194","2861194","0","3543001","彰化縣","3543001","656302","656302","0","4160","4160","0","彰化縣","0","701600","150000","551600"
"雲林縣","19652542","2096073","236402","271513","1145471","442687","7200764","雲林縣","7081389","0","119375","2006414","1045815","40510","433850","雲林縣","486239","2864333","40000","256204","2224344","0","343785","雲林縣","107175","28495","78680","2056991","2056991","0","2055577","雲林縣","2055577","787345","787345","0","79000","79000","0","雲林縣","0","398870","12000","386870"
"嘉義縣","16265785","1936501","179796","347662","1121555","287488","6687110","嘉義縣","6578145","0","108965","1556305","943930","49101","464897","嘉義縣","98377","2428883","331193","165000","1570057","11610","351023","嘉義縣","68861","201","68660","798251","760286","37965","1674199","嘉義縣","1674199","814000","814000","0","137800","22800","115000","嘉義縣","0","163875","60000","103875"
"臺南縣","26754903","3182178","232228","373818","2039166","536966","9614987","臺南縣","9409127","0","205860","3466042","1354601","374242","1503649","臺南縣","233550","2737994","0","20118","2154225","15326","548325","臺南縣","653321","266599","386722","2055749","2055749","0","3125314","臺南縣","3125314","1059986","1059986","0","268000","0","268000","臺南縣","0","591332","55000","536332"
"高雄縣","26284878","2829655","298994","288370","1672150","570141","12848769","高雄縣","12674301","0","174468","1183901","518240","104758","474442","高雄縣","86461","3072539","436000","264000","1828106","0","544433","高雄縣","859189","216860","642329","500616","500616","0","3297568","高雄縣","3297568","804430","804430","0","64000","64000","0","高雄縣","0","824211","40000","784211"
"屏東縣","23717928","2723228","278087","283212","1742858","419071","10654022","屏東縣","10215576","0","438446","2531973","1233604","154325","828008","屏東縣","316036","2800053","42169","1998810","123585","0","635489","屏東縣","478386","478","477908","693208","693208","0","2668292","屏東縣","2668292","840000","840000","0","165000","0","165000","屏東縣","0","163766","30000","133766"
"臺東縣","10267814","1155742","186890","175576","616083","177193","3431690","臺東縣","3349915","0","81775","1367985","342733","5296","395163","臺東縣","624793","1274302","130026","117074","649434","5800","371968","臺東縣","324558","1040","323518","1080000","1080000","0","1341582","臺東縣","1341582","80000","80000","0","0","0","0","臺東縣","0","211955","30000","181955"
"花蓮縣","11836552","1521670","162887","478123","620247","260413","4325286","花蓮縣","4204574","0","120712","817449","203287","41266","125310","花蓮縣","447586","1419987","176594","715050","262580","6444","259319","花蓮縣","201537","27848","173689","1301000","1301000","0","1625333","花蓮縣","1625333","362290","362290","0","0","0","0","花蓮縣","0","262000","35000","227000"
"澎湖縣","7349285","841104","130951","151783","411238","147132","1807684","澎湖縣","1641054","2987","163643","1521451","849220","320474","265748","澎湖縣","86009","910117","51594","217775","381405","4194","255149","澎湖縣","158376","15236","143140","545631","545631","0","1321972","澎湖縣","1321972","65100","65100","0","80000","80000","0","澎湖縣","0","97850","35000","62850"
"基隆市","15988444","2558220","404092","283849","1253228","617051","4512282","基隆市","4379106","0","133176","2492688","175500","28027","1902157","基隆市","387004","2362751","344645","0","1723147","13249","281710","基隆市","644086","28910","615176","1335000","1335000","0","1675449","基隆市","1675449","61768","61768","0","0","0","0","基隆市","0","346200","20000","326200"
"新竹市","10079934","1526898","149275","326720","776011","274892","3602134","新竹市","3441383","0","160751","789689","114441","70495","382230","新竹市","222523","1103724","72322","49165","886651","2919","92667","新竹市","1079833","2593","1077240","661296","661296","0","1061754","新竹市","1061754","39606","39606","0","0","0","0","新竹市","0","215000","50000","165000"
"臺中市","23683720","3092171","254013","316178","1913834","608146","12232810","臺中市","12046144","0","186666","1868390","514411","218424","741197","臺中市","394358","1444821","136615","116671","988364","0","203171","臺中市","1225042","10679","1214363","609028","609028","0","2563947","臺中市","2563947","349511","349511","0","0","0","0","臺中市","0","298000","50000","248000"
"嘉義市","9440179","1332687","145702","177610","742260","267115","2827312","嘉義市","2507594","0","319718","1902770","10866","16512","1639878","嘉義市","235514","725690","94090","419161","114644","8434","89361","嘉義市","519153","4895","514258","902300","902300","0","953208","嘉義市","953208","134659","134659","0","0","0","0","嘉義市","0","142400","15000","127400"
"臺南市","18836868","2652286","257602","300452","1639262","454970","6643810","臺南市","6345708","0","298102","2214991","267195","67949","1524405","臺南市","355442","928509","40454","644","747028","0","140383","臺南市","911800","5414","906386","2063600","2059425","4175","2224673","臺南市","2224673","929459","929459","0","0","0","0","臺南市","0","267740","40000","227740"
"金門縣","6889141","879593","110349","339749","353324","76171","1786006","金門縣","1425350","0","360656","1944000","1089910","69252","556301","金門縣","228537","1255072","88509","586496","77613","0","502454","金門縣","135014","8000","127014","295110","293000","2110","447736","金門縣","447736","0","0","0","39410","39410","0","金門縣","0","107200","20000","87200"
"連江縣","2188390","334440","50097","159300","103994","21049","502341","連江縣","457223","0","45118","673965","221216","5938","396242","連江縣","50569","222915","2771","12650","43798","0","163696","連江縣","269129","142311","126818","18500","18500","0","119900","連江縣","119900","0","0","0","0","0","0","連江縣","0","47200","10000","37200"
"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,
"總  計","380747602","47961042","4911411","6833721","27206221","9009689","168071904","總  計","164765513","2987","3303404","11225552","5394455","1526392","1983439","總  計","2321266","39448447","3215403","7264971","21346499","117371","7504203","總  計","10754653","1011511","9743142","34559875","34515625","44250","50187962","總  計","50187962","11471427","11471427","0","887370","332370","555000","總  計","0","6179370","1591100","4588270",,
"臺北縣","58266922","6383661","348982","1015156","3859991","1159532","26066217","臺北縣","25530470","0","535747","1162568","227326","310524","155057","臺北縣","469661","5748091","175654","2086601","2491170","6824","987842","臺北縣","2986984","543158","2443826","6052031","6052031","0","8158652","臺北縣","8158652","1215718","1215718","0","0","0","0","臺北縣","0","493000","490000","3000"
"宜蘭縣","11647528","1432413","178697","255427","650055","348234","4973434","宜蘭縣","4786790","0","186644","572289","313243","119427","29294","宜蘭縣","110325","956073","0","394427","304035","0","257611","宜蘭縣","117919","11106","106813","1647743","1647743","0","1441761","宜蘭縣","1441761","432641","432641","0","5000","5000","0","宜蘭縣","0","68255","20000","48255"
"桃園縣","25670462","3376373","399088","559407","1726152","691726","14295540","桃園縣","14140989",,"154551","375483","79379","60498","178458","桃園縣","57148","1774788","91734","225145","1157968",,"299941","桃園縣","228662","14019","214643","1540009","1540009",,"3724121","桃園縣","3724121","290000","290000",,"0",,,"桃園縣",,"65486","60000","5486"
"新竹縣","10712818","1464606","164787","193146","806738","299935","4333319","新竹縣","4244258",,"89061","267797","160886","24178","55052","新竹縣","27681","599396","142167","82537","108062","0","266630","新竹縣","106679","11688","94991","1733857","1733857","0","1265804","新竹縣","1265804","545320","545320",,"0",,,"新竹縣",,"396040","261100","134940"
"苗栗縣","12699450","1576343","184064","181168","908300","302811","5433878","苗栗縣","5326486","0","107392","214236","124584","9927","0","苗栗縣","79725","634061","214319","4682","113977","3657","297426","苗栗縣","124087","32651","91436","2227073","2227073",,"1585139","苗栗縣","1585139","675293","675293","0","7000","0","7000","苗栗縣",,"222340","66000","156340"
"臺中縣","28580430","3119718","370631","322351","1851353","575383","13988042","臺中縣","13736076",,"251966","491541","165090","124371","132141","臺中縣","69939","3162606","322272","301617","2056823",,"481894","臺中縣","559853",,"559853","1842399","1842399",,"3153637","臺中縣","3153637","890310","890310",,"0",,,"臺中縣",,"1372324","50000","1322324"
"南投縣","14416596","2067607","241549","274017","1222285","329756","5708664","南投縣","5613346","0","95318","352219","148487","102794","7765","南投縣","93173","1971924","279956","40968","1281388","1971","367641","南投縣","70329","1387","68942","1739289","1739289","0","1854379","南投縣","1854379","437689","437689","0","38000","38000","0","南投縣","0","176496","24000","152496"
"彰化縣","24533033","2635439","259640","278824","1578314","518661","11361534","彰化縣","11210317","0","151217","319517","159904","29207","74562","彰化縣","55844","2657748","16719","12992","2182676","36943","408418","彰化縣","143168","8006","135162","2861194","2861194","0","3492371","彰化縣","3492371","656302","656302","0","4160","4160","0","彰化縣","0","401600","150000","251600"
"雲林縣","17403825","2056876","235962","254843","1125790","440281","6432863","雲林縣","6332148","0","100715","804287","702219","37875","21554","雲林縣","42639","2857684","40000","256204","2218891","0","342589","雲林縣","104502","28395","76107","2056991","2056991","0","2017407","雲林縣","2017407","787345","787345","0","79000","79000","0","雲林縣","0","206870","0","206870"
"嘉義縣","14833368","1796647","175090","247212","1091977","282368","6638257","嘉義縣","6555235",,"83022","532543","437590","47001","42075","嘉義縣","5877","2252322","331193","0","1569691","11610","339828","嘉義縣","68749","201","68548","798251","760286","37965","1630924","嘉義縣","1630924","814000","814000","0","137800","22800","115000","嘉義縣",,"163875","60000","103875"
"臺南縣","20672885","2881116","230603","349076","1783602","517835","8947320","臺南縣","8793070","0","154250","389217","255906","44592","15106","臺南縣","73613","1352382","0","20118","782117","15326","534821","臺南縣","415761","57834","357927","2055749","2055749","0","2981792","臺南縣","2981792","1059986","1059986","0","268000","0","268000","臺南縣","0","321562","55000","266562"
"高雄縣","24177449","2765803","292494","275881","1635845","561583","12081914","高雄縣","11948708","0","133206","350627","192879","47083","24204","高雄縣","86461","2732693","436000","0","1828106","0","468587","高雄縣","793300","216860","576440","500616","500616","0","3259855","高雄縣","3259855","804430","804430","0","64000","64000","0","高雄縣","0","824211","40000","784211"
"屏東縣","20678256","2416274","267557","247488","1489158","412071","10051806","屏東縣","9879112","0","172694","771139","627960","77609","56889","屏東縣","8681","2525181","42169","1758427","118226","0","606359","屏東縣","477166","75","477091","693208","693208",,"2574716","屏東縣","2574716","840000","840000",,"165000",,"165000","屏東縣",,"163766","30000","133766"
"臺東縣","8867715","1097032","166890","172376","581893","175873","3285316","臺東縣","3203541","0","81775","282185","202061","5296","24443","臺東縣","50385","1236018","130026","117074","647434","5800","335684","臺東縣","284813","1040","283773","1080000","1080000","0","1310396","臺東縣","1310396","80000","80000","0","0","0","0","臺東縣","0","211955","30000","181955"
"花蓮縣","10495095","1451951","160537","453336","579965","258113","3948991","花蓮縣","3867757",,"81234","162098","106974","31170","310","花蓮縣","23644","1403345","176594","715050","262580","6444","242677","花蓮縣","169916","27848","142068","1301000","1301000",,"1552504","花蓮縣","1552504","362290","362290",,"0",,,"花蓮縣",,"143000","35000","108000"
"澎湖縣","5393347","710950","125611","145387","293120","146832","1500503","澎湖縣","1422173","2987","75343","266618","119584","61025",,"澎湖縣","86009","792697","51594","130742","379805","4194","226362","澎湖縣","28606","3386","25220","545631","545631",,"1305392","澎湖縣","1305392","65100","65100",,"80000","80000",,"澎湖縣",,"97850","35000","62850"
"基隆市","12125843","1832399","166795","270762","1061389","333453","3955971","基隆市","3835066","0","120905","339591","83990","14495","55521","基隆市","185585","2189875","344645","0","1579907","13249","252074","基隆市","598529","27070","571459","1335000","1335000","0","1626510","基隆市","1626510","61768","61768","0","0","0","0","基隆市","0","186200","20000","166200"
"新竹市","8759979","1284641","134390","177118","704267","268866","3280411","新竹市","3134101",,"146310","388704","43456","52495","180490","新竹市","112263","1086985","57922","49165","885971","2919","91008","新竹市","861012","2593","858419","661296","661296",,"1043324","新竹市","1043324","39606","39606",,"0",,,"新竹市",,"114000","50000","64000"
"臺中市","21448850","2940095","251710","315443","1783736","589206","11602763","臺中市","11476393","0","126370","788839","153341","174174","201240","臺中市","260084","1393918","136615","116671","942234","0","198398","臺中市","1176882","9574","1167308","609028","609028","0","2531814","臺中市","2531814","349511","349511","0","0","0","0","臺中市","0","56000","50000","6000"
"嘉義市","7214036","1306957","144202","175615","722793","264347","2370224","嘉義市","2297046","0","73178","229314","10866","16512","102376","嘉義市","99560","723626","94090","419161","114452","8434","87489","嘉義市","457278","4895","452383","902300","902300","0","947278","嘉義市","947278","134659","134659","0","0","0","0","嘉義市","0","142400","15000","127400"
"臺南市","15815749","2310838","255851","209872","1408145","436970","6053102","臺南市","5839598","0","213504","746026","161545","60949","306169","臺南市","217363","381911","40454","644","201280","0","139533","臺南市","896800","4414","892386","2063600","2059425","4175","2196273","臺南市","2196273","929459","929459","0","0","0","0","臺南市","0","237740","40000","197740"
"金門縣","5011568","775437","106933","314846","277934","75724","1364934","金門縣","1240550","0","124384","1180599","846169","69252","175141","金門縣","90037","814156","88509","520496","75938","0","129213","金門縣","37689","0","37689","295110","293000","2110","417033","金門縣","417033","0",,,"39410","39410","0","金門縣","0","87200","0","87200"
"連江縣","1322398","277866","49348","144970","63419","20129","396901","連江縣","352283","0","44618","238115","71016","5938","145592","連江縣","15569","200967","2771","12250","43768","0","142178","連江縣","45969","5311","40658","18500","18500","0","116880","連江縣","116880","0","0","0","0","0","0","連江縣","0","27200","10000","17200"
"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,
"總  計","69950605","6124375","468687","2326066","2860776","468846","15031359","總  計","12173108","0","2858251","33767457","7579648","1910098","18333564","總  計","5944147","7097532","14400","980947","5090243","0","1011942","總  計","4543945","804343","3739602","0","0","0","1292278","總  計","1292278","0","0","0","60000","60000","0","總  計","0","2033659","32000","2001659",
"臺北縣","9866468","2093793","28200","1513356","514171","38066","2750855","臺北縣","2185817","0","565038","4403042","811985","4610","3290008","臺北縣","296439","66436","0","0","7702","0","58734","臺北縣","384284","14160","370124","0","0","0","168058","臺北縣","168058","0","0","0","0","0","0","臺北縣","0","0","0","0"
"宜蘭縣","2937877","176952","2900","109650","59087","5315","573270","宜蘭縣","369735","0","203535","1342564","531253","0","508281","宜蘭縣","303030","44332","0","0","15620","0","28712","宜蘭縣","521286","412000","109286","0","0","0","119473","宜蘭縣","119473","0","0","0","60000","60000","0","宜蘭縣","0","100000","0","100000"
"桃園縣","6009284","639536","69440","123934","430982","15180","2407806","桃園縣","2357142",,"50664","1268476","256593","5080","802760","桃園縣","204043","117685",,,"44880",,"72805","桃園縣","1271377","8120","1263257","0",,,"154404","桃園縣","154404","0",,,"0",,,"桃園縣",,"150000",,"150000"
"新竹縣","5275770","124423","919","32690","82852","7962","748608","新竹縣","388050",,"360558","2131607","162395","98205","631902","新竹縣","1239105","1999354",,,"1969128",,"30226","新竹縣","71900",,"71900","0",,,"39992","新竹縣","39992","0",,,"0",,,"新竹縣",,"159886",,"159886"
"苗栗縣","3113579","51333","15586","3650","25497","6600","447022","苗栗縣","437217",,"9805","1545119","219650","264000","919780","苗栗縣","141689","1030521","0","158131","851237",,"21153","苗栗縣","23400",,"23400","0",,,"16184","苗栗縣","16184","0",,,"0",,,"苗栗縣",,"0",,
"臺中縣","1105628","0",,,,,"87628","臺中縣","87628",,,"0",,,,"臺中縣",,"0",,,,,,"臺中縣","1018000",,"1018000","0",,,"0","臺中縣",,"0",,,"0",,,"臺中縣",,"0",,
"南投縣","2583750","140673","8900","9896","117408","4469","353950","南投縣","278786","0","75164","1567471","421571","717100","428800","南投縣","0","218812","0","0","77095","0","141717","南投縣","33710","0","33710","0","0","0","99131","南投縣","99131","0","0","0","0","0","0","南投縣","0","170003","0","170003"
"彰化縣","4042249","140101","29350","13200","83131","14420","896489","彰化縣","488925","0","407564","2641067","306788","0","1469666","彰化縣","864613","12462","0","0","0","0","12462","彰化縣","1500","0","1500","0","0","0","50630","彰化縣","50630","0","0","0","0","0","0","彰化縣","0","300000","0","300000"
"雲林縣","2248717","39197","440","16670","19681","2406","767901","雲林縣","749241","0","18660","1202127","343596","2635","412296","雲林縣","443600","6649","0","0","5453","0","1196","雲林縣","2673","100","2573","0","0","0","38170","雲林縣","38170","0","0","0","0","0","0","雲林縣","0","192000","12000","180000"
"嘉義縣","1432417","139854","4706","100450","29578","5120","48853","嘉義縣","22910","0","25943","1023762","506340","2100","422822","嘉義縣","92500","176561",,"165000","366","0","11195","嘉義縣","112","0","112","0","0","0","43275","嘉義縣","43275","0",,,"0",,,"嘉義縣",,"0","0","0"
"臺南縣","6082018","301062","1625","24742","255564","19131","667667","臺南縣","616057","0","51610","3076825","1098695","329650","1488543","臺南縣","159937","1385612","0","0","1372108","0","13504","臺南縣","237560","208765","28795","0","0","0","143522","臺南縣","143522","0","0","0","0","0","0","臺南縣","0","269770","0","269770"
"高雄縣","2107429","63852","6500","12489","36305","8558","766855","高雄縣","725593","0","41262","833274","325361","57675","450238","高雄縣","0","339846","0","264000","0","0","75846","高雄縣","65889","0","65889","0","0","0","37713","高雄縣","37713","0","0","0","0","0","0","高雄縣","0","0",,"0"
"屏東縣","3039672","306954","10530","35724","253700","7000","602216","屏東縣","336464","0","265752","1760834","605644","76716","771119","屏東縣","307355","274872","0","240383","5359","0","29130","屏東縣","1220","403","817","0","0","0","93576","屏東縣","93576","0","0",,"0",,,"屏東縣",,"0",,
"臺東縣","1400099","58710","20000","3200","34190","1320","146374","臺東縣","146374","0","0","1085800","140672","0","370720","臺東縣","574408","38284","0","0","2000","0","36284","臺東縣","39745","0","39745","0","0","0","31186","臺東縣","31186","0","0","0","0","0","0","臺東縣","0","0","0","0"
"花蓮縣","1341457","69719","2350","24787","40282","2300","376295","花蓮縣","336817",,"39478","655351","96313","10096","125000","花蓮縣","423942","16642",,,,,"16642","花蓮縣","31621",,"31621","0",,,"72829","花蓮縣","72829","0",,,"0",,,"花蓮縣",,"119000",,"119000"
"澎湖縣","1955938","130154","5340","6396","118118","300","307181","澎湖縣","218881",,"88300","1254833","729636","259449","265748","澎湖縣",,"117420",,"87033","1600",,"28787","澎湖縣","129770","11850","117920","0",,,"16580","澎湖縣","16580","0",,,"0",,,"澎湖縣",,"0",,
"基隆市","3862601","725821","237297","13087","191839","283598","556311","基隆市","544040","0","12271","2153097","91510","13532","1846636","基隆市","201419","172876","0","0","143240","0","29636","基隆市","45557","1840","43717","0","0","0","48939","基隆市","48939","0","0","0","0","0","0","基隆市","0","160000","0","160000"
"新竹市","1319955","242257","14885","149602","71744","6026","321723","新竹市","307282","0","14441","400985","70985","18000","201740","新竹市","110260","16739","14400","0","680","0","1659","新竹市","218821","0","218821","0","0","0","18430","新竹市","18430","0","0","0","0",,,"新竹市",,"101000","0","101000"
"臺中市","2234870","152076","2303","735","130098","18940","630047","臺中市","569751","0","60296","1079551","361070","44250","539957","臺中市","134274","50903","0","0","46130","0","4773","臺中市","48160","1105","47055","0","0","0","32133","臺中市","32133","0","0","0","0","0","0","臺中市","0","242000","0","242000"
"嘉義市","2226143","25730","1500","1995","19467","2768","457088","嘉義市","210548","0","246540","1673456","0","0","1537502","嘉義市","135954","2064","0","0","192","0","1872","嘉義市","61875","0","61875","0","0","0","5930","嘉義市","5930","0","0","0","0","0","0","嘉義市","0","0","0","0"
"臺南市","3021119","341448","1751","90580","231117","18000","590708","臺南市","506110","0","84598","1468965","105650","7000","1218236","臺南市","138079","546598","0","0","545748","0","850","臺南市","15000","1000","14000","0","0","0","28400","臺南市","28400","0","0","0","0","0","0","臺南市","0","30000","0","30000"
"金門縣","1877573","104156","3416","24903","75390","447","421072","金門縣","184800","0","236272","763401","243741","0","381160","金門縣","138500","440916","0","66000","1675","0","373241","金門縣","97325","8000","89325","0","0","0","30703","金門縣","30703","0","0","0","0","0","0","金門縣","0","20000","20000","0"
"連江縣","865992","56574","749","14330","40575","920","105440","連江縣","104940","0","500","435850","150200","0","250650","連江縣","35000","21948","0","400","30","0","21518","連江縣","223160","137000","86160","0","0","0","3020","連江縣","3020","0","0","0","0","0","0","連江縣","0","20000","0","20000"

