,,,"","總預算彙編",,,,
"","20452","0.01","8916","0","11269","0","11536","129.385374607447"
"","16057452","3.57","12516123","2.19","12562242","3.11","3541329","28.2941370902156"
"","1931864","0.43","2365248","0.41","3253655","0.81","-433384","-18.3229834672728"
"","186238103","41.46","217602745","38.1","155664998","38.57","-31364642","-14.4137161505017"
"","2516628","0.56","299094","0.05","600177","0.15","2217534","741.417079580333"
"","0","0","0","0","15973","0.01","0",""
"","6940216","1.54","5528391","0.97","5402915","1.34","1411825","25.5377197452206"
"","0","0","0","0","14081687","3.49","0",""
"","0","0","0","0","9570795","2.37","0",""
,,,,,,,,
"","472866256","100","615298928","100","421075479","100","-142432672","-23.1485324479551"
"","56015188","11.85","76503738","12.43","45944105","10.91","-20488550","-26.7811097021168"
"","175720556","37.16","249217279","40.5","155875636","37.02","-73496723","-29.491022169454"
"","53899466","11.4","65183165","10.59","67182151","15.96","-11283699","-17.3107565427362"
"","63947789","13.52","57687142","9.38","41814750","9.93","6260647","10.8527598749822"
"","15023748","3.18","20718882","3.37","14239950","3.38","-5695134","-27.4876511193992"
"","37574301","7.95","49522785","8.05","16338929","3.88","-11948484","-24.1272456708564"
"","52088437","11.01","79267851","12.88","42967158","10.2","-27179414","-34.2880671761872"
"","9942949","2.1","5806808","0.94","9002693","2.14","4136141","71.2291675564269"
"","1211662","0.26","1952331","0.32","24546505","5.83","-740669","-37.9376755273568"
"","7442160","1.57","9438947","1.54","3163602","0.75","-1996787","-21.1547644032751"
,,,,,,,,
"","-23642510",,"-44151891",,"-17508166",,"20509381",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

