,"各縣(市)總預算",,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,
,"歲出政事別預算總表",,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7	(Œ~	N)7	(Œ~ÛV)7	(Œ~”N)7		-NïƒlW]NASÛVt^¦^7	-NïƒlW7	]NASÛVt^¦^7	N,‚?e
ÙR/eúQЀ7	?e
kLˆ
"南投縣","19504395","2288645","284463","南投縣","540376","1200051","263755","6351777","6208327","0","143450","南投縣","2827490","587706","482229","1632922","124633","2162444","346373","南投縣","1225192","196055","8277","386547","409337","36592","372745","南投縣","2708400","2708400","0","2121708","2121708","238832","238832","南投縣","0","27000","27000","0","0","368762","24000","344762"
"彰化縣","32402311","2849393","285780","彰化縣","396373","1741943","425297","11903560","11607582","0","295978","彰化縣","3456410","2058337","64668","605229","728176","3034849","0","彰化縣","251892","2290257","33864","458836","526998","70613","456385","彰化縣","4773894","4773894","0","3903916","3903916","404148","404148","彰化縣","0","819917","819917","0","0","729226","130000","599226"
"雲林縣","22360000","2301018","219877","雲林縣","278436","1476548","326157","7473310","7372869","0","100441","雲林縣","3041781","1126646","93096","998668","823371","2816683","180601","雲林縣","347955","1916266","0","371861","395628","23386","372242","雲林縣","3195041","3195041","0","2203402","2203402","372417","372417","雲林縣","0","65000","65000","0","0","495720","60000","435720"
"嘉義縣","18878783","2290001","194380","嘉義縣","537527","1310032","248062","7611067","7440244","0","170823","嘉義縣","2155274","1050430","90407","849741","164696","3143088","533210","嘉義縣","188880","1993544","10326","417128","244720","0","244720","嘉義縣","731097","731097","0","1914331","1914331","360000","360000","嘉義縣","0","169160","19160","150000","0","260045","80000","180045"
"臺南縣","33242818","4009221","211057","臺南縣","420097","2593056","785011","10816895","10490563","0","326332","臺南縣","4387358","1475078","91322","2340850","480108","3956504","0","臺南縣","13690","3359887","4881","578046","1232588","575233","657355","臺南縣","3883642","3883642","0","3218387","3218387","741230","741230","臺南縣","0","312000","0","312000","0","684993","55000","629993"
"高雄縣","31321071","2935432","285018","高雄縣","392231","1784062","474121","14210461","13932198","0","278263","高雄縣","3741976","1377931","1079444","1177460","107141","3872880","456000","高雄縣","313233","2507515","0","596132","1356170","156378","1199792","高雄縣","574750","574750","0","3723402","3723402","300000","300000","高雄縣","0","16000","16000","0","0","590000","160000","430000"
"屏東縣","26736600","2705605","281781","屏東縣","283987","1800333","339504","13171572","12882443","0","289129","屏東縣","3024798","801617","86598","1807992","328591","2760053","29858","屏東縣","2254","2141089","0","586852","648956","8138","640818","屏東縣","682952","682952","0","2728928","2728928","300000","300000","屏東縣","0","191000","0","191000","0","522736","30000","492736"
"臺東縣","10784985","1443474","192935","臺東縣","231524","850268","168747","3487005","3390350","0","96655","臺東縣","959985","238315","8407","151345","561918","1490374","197806","臺東縣","346261","576048","8435","361824","237037","3950","233087","臺東縣","1404232","1404232","0","1484888","1484888","50000","50000","臺東縣","0","0","0","0","0","227990","50000","177990"
"花蓮縣","15379220","1753256","228300","花蓮縣","554756","726630","243570","4666467","4536100","0","130367","花蓮縣","2839360","602678","56343","956348","1223991","1737647","297196","花蓮縣","738884","397666","9530","294371","418173","24765","393408","花蓮縣","1679551","1679551","0","1781749","1781749","176017","176017","花蓮縣","0","0","0","0","0","327000","50000","277000"
"澎湖縣","7693350","881706","133458","澎湖縣","173450","449771","125027","2008982","1680918","4084","323980","澎湖縣","1421965","397197","446030","397787","180951","1035054","94660","澎湖縣","220757","479335","4919","235383","315321","7160","308161","澎湖縣","612654","612654","0","1193520","1193520","30248","30248","澎湖縣","0","86000","86000","0","0","107900","42000","65900"
"基隆市","16826881","2411709","213027","基隆市","307491","1598020","293171","4704456","4537360","0","167096","基隆市","2862865","121549","110068","2377114","254134","2111994","33400","基隆市","122722","1678111","12784","264977","644856","660","644196","基隆市","1874048","1874048","0","1697753","1697753","158000","158000","基隆市","0","0","0","0","0","361200","20000","341200"
"新竹市","15910000","1859587","344299","新竹市","285598","975392","254298","5037051","4834116","0","202935","新竹市","2772156","218791","769329","1499161","284875","1416380","29844","新竹市","37126","1187532","48883","112995","890259","20588","869671","新竹市","1634879","1634879","0","1453688","1453688","160000","160000","新竹市","0","0","0","0","0","686000","300000","386000"
"臺中市","32083318","3493259","315864","臺中市","438664","2201276","537455","11637116","11080959","0","556157","臺中市","5416818","605533","218671","3736111","856503","2234082","111123","臺中市","176552","1706029","0","240378","1300551","11466","1289085","臺中市","3719195","3719195","0","3439411","3439411","200886","200886","臺中市","0","0","0","0","0","642000","50000","592000"
"嘉義市","10137015","1555881","150358","嘉義市","311780","857145","236598","2899858","2736125","0","163733","嘉義市","1799498","22266","6146","1292260","478826","742781","22414","嘉義市","459962","138639","8136","113630","471187","6284","464903","嘉義市","1230614","1230614","0","1138430","1138430","100366","100366","嘉義市","0","0","0","0","0","198400","15000","183400"
"臺南市","22396037","2966148","263719","臺南市","263523","2068695","370211","8189083","7641897","0","547186","臺南市","2609169","307169","96383","1783127","422490","1130542","558","臺南市","3808","936149","0","190027","1174332","118278","1056054","臺南市","3002354","2996847","5507","2642072","2642072","388280","388280","臺南市","0","0","0","0","0","294057","40000","254057"
"金門縣","9352576","1518416","112216","金門縣","317947","438815","649438","1712054","1369794","0","342260","金門縣","3078468","1073808","312751","1443758","248151","1418025","46490","金門縣","243339","639560","0","488636","437736","0","437736","金門縣","400574","399000","1574","423790","423790","0","0","金門縣","0","112913","0","112913","0","250600","20000","230600"
"連江縣","3033310","507384","61645","連江縣","249251","172714","23774","476218","380302","0","95916","連江縣","1426275","595534","13982","136331","680428","241339","3157","連江縣","9980","58500","0","169702","136700","80022","56678","連江縣","34545","34545","0","129929","129929","5000","5000","連江縣","0","0","0","0","0","75920","15000","60920"
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,
"總  計","432313872","50061287","4815640","總  計","8494169","29599942","7151536","180531192","176169155","4084","4357953","總  計","14202557","6723914","1948152","2639721","2890770","51283279","3784169","總  計","6494518","32691570","165999","8147023","12080364","794664","11285700","總  計","51068743","51061662","7081","55308841","55308841","6702618","6702618","總  計","0","1086180","293267","792913","0","9988811","2187100","7801711",,
"臺北縣","63482975","6227148","324033","臺北縣","1358033","3741219","803863","28249679","27684807","0","564872","臺北縣","968618","284370","275786","273241","135221","6891155","279300","臺北縣","1237191","4557378","9549","807737","3240641","353068","2887573","臺北縣","6551036","6551036","0","8504066","8504066","1016133","1016133","臺北縣","0","0","0","0","0","1834499","490000","1344499"
"宜蘭縣","12980141","1385163","161233","宜蘭縣","284146","695665","244119","5061486","4849822","0","211664","宜蘭縣","493544","184581","167465","39366","102132","1788925","291522","宜蘭縣","692794","496720","0","307889","115610","20647","94963","宜蘭縣","1981944","1981944","0","1823559","1823559","208655","208655","宜蘭縣","0","23000","23000","0","0","98255","50000","48255"
"桃園縣","34467468","4071349","353129","桃園縣","839371","2338655","540194","16414365","16060936","0","353429","桃園縣","836894","356272","84804","226905","168913","3710604","174647","桃園縣","342389","2742755","0","450813","323636","10116","313520","桃園縣","3859802","3859802","0","4049492","4049492","389406","389406","桃園縣","0","0","0","0","0","811920","80000","731920"
"新竹縣","12874376","1771599","166623","新竹縣","274959","1068977","261040","5350176","5202986","0","147190","新竹縣","505295","329415","39712","59724","76444","654771","111955","新竹縣","83662","178360","0","280794","140611","2767","137844","新竹縣","2149540","2149540","0","1403534","1403534","323000","323000","新竹縣","0","0","0","0","0","575850","361100","214750"
"苗栗縣","12851818","1678863","195445","苗栗縣","228180","999254","255984","5958244","5745941","0","212303","苗栗縣","295765","158608","67618","0","69539","644361","211400","苗栗縣","0","101335","6455","325171","116753","13169","103584","苗栗縣","1918356","1918356","0","1740316","1740316","250000","250000","苗栗縣","0","27000","0","27000","0","222160","80000","142160"
"臺中縣","31760500","3126676","331075","臺中縣","421046","1897452","477103","15222157","14961667",,"260490","臺中縣","837611","332318","83441","216295","205557","3632011","332655","臺中縣","205108","2589766","0","504482","380996","0","380996","臺中縣","2465643","2465643","0","3532481","3532481","530000","530000","臺中縣","0","0","0","0","0","2032925","100000","1932925"
"南投縣","16333504","1894900","232053","南投縣","302007","1107730","253110","6214842","6091262","0","123580","南投縣","477688","253756","93379","5920","124633","2148810","346373","南投縣","1225192","196055","8277","372913","383339","11792","371547","南投縣","2708400","2708400","0","2066034","2066034","238832","238832","南投縣","0","27000","27000","0","0","173659","24000","149659"
"彰化縣","26919046","2671882","251164","彰化縣","341113","1668308","411297","10817100","10646152","0","170948","彰化縣","525453","298534","64668","38563","123688","3004561","0","彰化縣","251892","2270707","33864","448098","458539","54613","403926","彰化縣","4773894","4773894","0","3802136","3802136","404148","404148","彰化縣","0","57107","57107","0","0","404226","130000","274226"
"雲林縣","18236043","1959244","213815","雲林縣","271110","1166518","307801","6557224","6470883","0","86341","雲林縣","796357","664947","50428","21976","59006","2810898","180601","雲林縣","347955","1914866","0","367476","103519","23386","80133","雲林縣","3195041","3195041","0","2165473","2165473","372417","372417","雲林縣","0","65000","65000","0","0","210870",,"210870"
"嘉義縣","16278398","1959512","190180","嘉義縣","304996","1229874","234462","7200913","7055390","0","145523","嘉義縣","674430","426309","69427","92173","86521","2942364","533210","嘉義縣","0","1991824","10326","407004","115580","0","115580","嘉義縣","731097","731097","0","1865297","1865297","360000","360000","嘉義縣","0","169160","19160","150000","0","260045","80000","180045"
"臺南縣","25867157","2787534","210257","臺南縣","375425","1761442","440410","9696801","9473016","0","223785","臺南縣","663859","334214","41252","59640","228753","3920352","0","臺南縣","13690","3348587","4881","553194","438645","49722","388923","臺南縣","3883642","3883642","0","3070479","3070479","741230","741230","臺南縣","0","312000","0","312000","0","352615","55000","297615"
"高雄縣","26021460","2799302","274718","高雄縣","360382","1720737","443465","13038831","12833648","0","205183","高雄縣","561740","267797","71110","115692","107141","3523538","456000","高雄縣","0","2491888","0","575650","976766","156378","820388","高雄縣","574750","574750","0","3640533","3640533","300000","300000","高雄縣","0","16000","16000","0","0","590000","160000","430000"
"屏東縣","22840327","2427980","271721","屏東縣","277889","1555207","323163","12228580","12063639","0","164941","屏東縣","848613","676912","85730","66496","19475","2744774","29858","屏東縣","2254","2141089","0","571573","477303","8138","469165","屏東縣","682952","682952","0","2683805","2683805","300000","300000","屏東縣","0","191000","0","191000","0","255320","30000","225320"
"臺東縣","9208215","1227498","167735","臺東縣","228411","668230","163122","3119955","3031560","0","88395","臺東縣","254775","145573","8407","25619","75176","1365002","197806","臺東縣","236261","574838","8435","347662","138174","3950","134224","臺東縣","1404232","1404232","0","1470589","1470589","50000","50000","臺東縣","0","0","0","0","0","177990","0","177990"
"花蓮縣","11984339","1608466","166820","花蓮縣","529214","687862","224570","4331464","4230914","0","100550","花蓮縣","357077","298447","20562","3607","34461","1722779","297196","花蓮縣","738884","397666","9530","279503","202521","24765","177756","花蓮縣","1679551","1679551","0","1733464","1733464","176017","176017","花蓮縣","0","0","0","0","0","173000","50000","123000"
"澎湖縣","5739875","798959","120638","澎湖縣","144833","416761","116727","1602431","1507486","4084","90861","澎湖縣","359383","159602","73880","0","125901","931481","94660","澎湖縣","143757","473180","4919","214965","90838","1160","89678","澎湖縣","612654","612654","0","1119981","1119981","30248","30248","澎湖縣","0","86000","86000","0","0","107900","42000","65900"
"基隆市","13051994","1927567","204327","基隆市","293546","1150432","279262","4077487","3931741","0","145746","基隆市","507504","81419","44968","222643","158474","2082768","33400","基隆市","122722","1666348","12784","247514","603217","660","602557","基隆市","1874048","1874048","0","1635203","1635203","158000","158000","基隆市","0","0","0","0","0","186200","20000","166200"
"新竹市","12080412","1516538","143110","新竹市","270247","861234","241947","3952702","3769007","0","183695","新竹市","620312","161741","58497","210208","189866","1407090","29844","新竹市","37126","1182232","48843","109045","828729","20588","808141","新竹市","1634879","1634879","0","1434162","1434162","160000","160000","新竹市","0","0","0","0","0","526000","300000","226000"
"臺中市","25298666","3205432","284204","臺中市","412594","2015479","493155","10209318","10000421","0","208897","臺中市","914537","165908","152621","283531","312477","2135136","111123","臺中市","176552","1618224","0","229237","1260639","11466","1249173","臺中市","3719195","3719195","0","3333523","3333523","200886","200886","臺中市","0","0","0","0","0","320000","50000","270000"
"嘉義市","8142886","1377032","143258","嘉義市","197158","812126","224490","2633639","2513691","0","119948","嘉義市","287131","22266","6146","136445","122274","734417","22414","嘉義市","459962","136747","8136","107158","451997","6284","445713","嘉義市","1230614","1230614","0","1129290","1129290","100366","100366","嘉義市","0","0","0","0","0","198400","15000","183400"
"臺南市","18320283","2429526","255287","臺南市","236523","1588976","348740","6740984","6447938","0","293046","臺南市","792979","189093","66383","264264","273239","1114638","558","臺南市","3808","926393","0","183879","1008395","973","1007422","臺南市","3002354","2996847","5507","2579070","2579070","388280","388280","臺南市","0","0","0","0","0","264057","40000","224057"
"金門縣","5958121","800512","100939","金門縣","303522","350813","45238","1405836","1234581","0","171255","金門縣","1341573","825798","307886","149738","58151","1164207","46490","金門縣","163339","636112","0","318266","175636","0","175636","金門縣","400574","399000","1574","399870","399870","0","0","金門縣","0","112913","0","112913","0","157000","20000","137000"
"連江縣","1615868","408605","53876","連江縣","239464","96991","18274","446978","361667","0","85311","連江縣","281419","106034","13982","127675","33728","208637","3157","連江縣","9980","58500","0","137000","48280","21022","27258","連江縣","34545","34545","0","126484","126484","5000","5000","連江縣","0","0","0","0","0","55920","10000","45920"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","116989912","9364569","626406","總  計","1921769","5418284","1398110","22662929","19837547","0","2825382","總  計","60928631","14245900","3695021","33345139","9642571","6161640","0","總  計","769113","4663043","131547","597937","11190483","1342241","9848242","總  計","0","0","0","2034315","2034315","0","0","總  計","0","772810","772810","0","0","3874535","115000","3759535",
"臺北縣","11541472","943613","26360","臺北縣","148990","662897","105366","1873447","1681318","0","192129","臺北縣","4781225","1627571","13748","2879906","260000","181778","0","臺北縣","0","82211","0","99567","3438779","39926","3398853","臺北縣","0","0","0","322630","322630","0","0","臺北縣","0","0","0","0","0","0","0","0"
"宜蘭縣","5853478","844748","1260","宜蘭縣","707162","125800","10526","1032840","722800","0","310040","宜蘭縣","3294586","1631616","0","375100","1287870","65155","0","宜蘭縣",,"57932","0","7223","381823","304492","77331","宜蘭縣","0","0","0","34326","34326","0","0","宜蘭縣","0","10000","10000","0","0","190000","0","190000"
"桃園縣","13418492","484622","16300","桃園縣","65289","369775","33258","4628775","4195821","0","432954","桃園縣","5479627","1625602","28223","3000965","824837","248831","0","桃園縣","0","117324","131507","0","1674054","150207","1523847","桃園縣","0","0","0","422583","422583","0","0","桃園縣","0","0","0","0","0","480000","0","480000"
"新竹縣","8519941","334703","2671","新竹縣","71600","249658","10774","747227","632447","0","114780","新竹縣","2313639","215440","83767","1302781","711651","2949009","0","新竹縣","0","2898056","0","50953","1898103","0","1898103","新竹縣","0","0","0","63309","63309","0","0","新竹縣","0","0","0","0","0","213951","0","213951"
"苗栗縣","5291136","82118","3090","苗栗縣","4590","60829","13609","422213","390772",,"31441","苗栗縣","2764400","468141","771700","1502695","21864","1261175","0","苗栗縣","0","1257985","0","3190","532477","98000","434477","苗栗縣","0","0","0","47323","47323","0","0","苗栗縣","0","0","0","0","0","181430","0","181430"
"","8219317","705119","82650","臺中縣","29561","563294","29614","1876580","1755238","0","121342","臺中縣","4738338","1095295","1035","2921678","720330","112425","0","臺中縣","0","72609","0","39816","186815","1000","185815","臺中縣","0","0","0","200233","200233","0","0","臺中縣","0","0","0","0","0","399807","0","399807"
"南投縣","3170891","393745","52410","南投縣","238369","92321","10645","136935","117065","0","19870","南投縣","2349802","333950","388850","1627002","0","13634","0","南投縣","0","0","0","13634","25998","24800","1198","南投縣","0","0","0","55674","55674","0","0","南投縣","0","0","0","0","0","195103","0","195103"
"彰化縣","5483265","177511","34616","彰化縣","55260","73635","14000","1086460","961430","0","125030","彰化縣","2930957","1759803","0","566666","604488","30288","0","彰化縣","0","19550","0","10738","68459","16000","52459","彰化縣","0","0","0","101780","101780","0","0","彰化縣","0","762810","762810","0","0","325000","0","325000"
"雲林縣","4123957","341774","6062","雲林縣","7326","310030","18356","916086","901986","0","14100","雲林縣","2245424","461699","42668","976692","764365","5785","0","雲林縣","0","1400","0","4385","292109","0","292109","雲林縣","0","0","0","37929","37929","0","0","雲林縣","0","0","0","0","0","284850","60000","224850"
"嘉義縣","2600385","330489","4200","嘉義縣","232531","80158","13600","410154","384854","0","25300","嘉義縣","1480844","624121","20980","757568","78175","200724","0","嘉義縣","188880","1720","0","10124","129140","0","129140","嘉義縣","0","0","0","49034","49034","0","0","嘉義縣","0","0","0","0","0","0","0","0"
"臺南縣","7375661","1221687","800","臺南縣","44672","831614","344601","1120094","1017547","0","102547","臺南縣","3723499","1140864","50070","2281210","251355","36152","0","臺南縣","0","11300","0","24852","793943","525511","268432","臺南縣","0","0","0","147908","147908","0","0","臺南縣","0","0","0","0","0","332378","0","332378"
"高雄縣","5299611","136130","10300","高雄縣","31849","63325","30656","1171630","1098550","0","73080","高雄縣","3180236","1110134","1008334","1061768","0","349342","0","高雄縣","313233","15627","0","20482","379404","0","379404","高雄縣","0","0","0","82869","82869","0","0","高雄縣","0","0","0","0","0","0","0","0"
"屏東縣","3896273","277625","10060","屏東縣","6098","245126","16341","942992","818804","0","124188","屏東縣","2176185","124705","868","1741496","309116","15279","0","屏東縣","0","0","0","15279","171653","0","171653","屏東縣","0","0","0","45123","45123","0","0","屏東縣","0","0","0","0","0","267416","0","267416"
"臺東縣","1576770","215976","25200","臺東縣","3113","182038","5625","367050","358790","0","8260","臺東縣","705210","92742",,"125726","486742","125372","0","臺東縣","110000","1210","0","14162","98863","0","98863","臺東縣","0","0","0","14299","14299","0","0","臺東縣","0","0","0","0","0","50000","50000","0"
"花蓮縣","3394881","144790","61480","花蓮縣","25542","38768","19000","335003","305186","0","29817","花蓮縣","2482283","304231","35781","952741","1189530","14868","0","花蓮縣","0","0","0","14868","215652","0","215652","花蓮縣","0","0","0","48285","48285","0","0","花蓮縣","0","0","0","0","0","154000","0","154000"
"澎湖縣","1953475","82747","12820","澎湖縣","28617","33010","8300","406551","173432","0","233119","澎湖縣","1062582","237595","372150","397787","55050","103573","0","澎湖縣","77000","6155","0","20418","224483","6000","218483","澎湖縣","0","0","0","73539","73539","0","0","澎湖縣","0","0","0","0","0","0","0","0"
"基隆市","3774887","484142","8700","基隆市","13945","447588","13909","626969","605619","0","21350","基隆市","2355361","40130","65100","2154471","95660","29226","0","基隆市","0","11763","0","17463","41639","0","41639","基隆市","0","0","0","62550","62550","0","0","基隆市","0","0","0","0","0","175000","0","175000"
"新竹市","3829588","343049","201189","新竹市","15351","114158","12351","1084349","1065109","0","19240","新竹市","2151844","57050","710832","1288953","95009","9290","0","新竹市","0","5300","40","3950","61530","0","61530","新竹市","0","0","0","19526","19526","0","0","新竹市","0","0","0","0","0","160000","0","160000"
"臺中市","6784652","287827","31660","臺中市","26070","185797","44300","1427798","1080538","0","347260","臺中市","4502281","439625","66050","3452580","544026","98946","0","臺中市","0","87805","0","11141","39912","0","39912","臺中市","0","0","0","105888","105888","0","0","臺中市","0","0","0","0","0","322000","0","322000"
"嘉義市","1994129","178849","7100","嘉義市","114622","45019","12108","266219","222434","0","43785","嘉義市","1512367","0","0","1155815","356552","8364","0","嘉義市","0","1892","0","6472","19190","0","19190","嘉義市","0","0","0","9140","9140","0","0","嘉義市","0","0","0","0","0","0","0","0"
"臺南市","4075754","536622","8432","臺南市","27000","479719","21471","1448099","1193959","0","254140","臺南市","1816190","118076","30000","1518863","149251","15904","0","臺南市","0","9756","0","6148","165937","117305","48632","臺南市","0","0","0","63002","63002","0","0","臺南市","0","0","0","0","0","30000","0","30000"
"金門縣","3394455","717904","11277","金門縣","14425","88002","604200","306218","135213","0","171005","金門縣","1736895","248010","4865","1294020","190000","253818","0","金門縣","80000","3448","0","170370","262100","0","262100","金門縣","0","0","0","23920","23920","0","0","金門縣","0","0","0","0","0","93600","0","93600"
"連江縣","1417442","98779","7769","連江縣","9787","75723","5500","29240","18635","0","10605","連江縣","1144856","489500","0","8656","646700","32702","0","連江縣","0","0","0","32702","88420","59000","29420","連江縣","0","0","0","3445","3445","0","0","連江縣","0","0","0","0","0","20000","5000","15000"

