,"各縣(市)總預算",,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,
,"歲出政事別預算總表",,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7
(Œ~	N)7
(Œ~ÛV)7
"花蓮縣","15199960","1693219","189415","花蓮縣","542816","745152","215836","4694012","4562195","0","131817","花蓮縣","2514852","481967","37593","374249","1621043","1745515","238183","花蓮縣","751052","436685","10009","309586","493220","28615","464605","花蓮縣","1705000","1705000","0","1811442","1811442","217700","217700","花蓮縣","0","0","0","0","0","325000","50000","275000"
"澎湖縣","6473547","855399","131277","澎湖縣","156413","444519","123190","1704341","1597361","2455","104525","澎湖縣","667479","238847","169656","142470","116506","1015653","94006","澎湖縣","229713","447065","5596","239273","270346","15057","255289","澎湖縣","637121","637121","0","1140638","1140638","20000","20000","澎湖縣","0","52000","52000","0","0","110570","37000","73570"
"基隆市","16780483","2640840","222803","基隆市","577626","1538945","301466","4684165","4539534","0","144631","基隆市","2617882","138056","142893","2063231","273702","2139937","10753","基隆市","129789","1685182","13942","300271","947586","119294","828292","基隆市","1434077","1434077","0","1797796","1797796","158000","158000","基隆市","0","0","0","0","0","360200","20000","340200"
"新竹市","14213912","1844747","300632","新竹市","241132","1044982","258001","4526576","4313017","0","213559","新竹市","1514151","202425","215765","886968","208993","1381398","29844","新竹市","60246","1145089","42749","103470","888534","38006","850528","新竹市","1783120","1783120","0","1507386","1507386","250000","250000","新竹市","0","0","0","0","0","518000","180000","338000"
"臺中市","32269149","3506906","283179","臺中市","444133","2297504","482090","10963757","10671525","0","292232","臺中市","5519486","854371","234215","3850842","580058","2278725","81123","臺中市","180385","1775493","0","241724","1596372","15436","1580936","臺中市","4059998","4059998","0","3538425","3538425","160480","160480","臺中市","0","0","0","0","0","645000","50000","595000"
"嘉義市","10745257","1706022","246035","嘉義市","336145","895154","228688","2876143","2727774","0","148369","嘉義市","2039554","22654","11703","1399818","605379","768702","21042","嘉義市","488111","140845","9341","109363","532331","11101","521230","嘉義市","1290700","1290700","0","1195476","1195476","105929","105929","嘉義市","0","0","0","0","0","230400","15000","215400"
"臺南市","23250605","3020566","262837","臺南市","271407","2123412","362910","7719445","7143159","0","576286","臺南市","3617787","170155","137024","2571515","739093","1258292","71442","臺南市","938","996987","0","188925","1080240","21975","1058265","臺南市","3114010","3109815","4195","2735407","2735407","418000","418000","臺南市","0","0","0","0","0","286858","40000","246858"
"金門縣","8562821","1010125","119382","金門縣","354493","486432","49818","1852082","1536010","0","316072","金門縣","2986368","974971","354720","1059583","597094","1104187","42986","金門縣","107226","686959","0","267016","471942","0","471942","金門縣","392200","391000","1200","463698","463698","0","0","金門縣","0","102719","0","102719","0","179500","20000","159500"
"連江縣","2536445","463947","61493","連江縣","248704","135480","18270","440930","388671","0","52259","連江縣","1013990","331034","16084","126259","540613","218912","1715","連江縣","0","31783","0","185414","166029","122101","43928","連江縣","21360","21360","0","134027","134027","5000","5000","連江縣","0","14250","14250","0","0","58000","15000","43000"
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,
"總  計","440340242","51110388","4958775","總  計","8823048","30193705","7134860","184849543","180378833","2455","4468255","總  計","13943092","6237001","1925290","2791289","2989512","51666596","3935958","總  計","7911020","31325401","177777","8316440","11791060","612491","11178569","總  計","52694461","52689066","5395","56069348","56069348","7734504","7734504","總  計","0","1002936","453217","549719","0","9478314","2032100","7446214",,
"臺北縣","63231471","6471934","328651","臺北縣","1578150","3792933","772200","28217199","27580694","0","636505","臺北縣","958201","246916","280186","301833","129266","6879933","161000","臺北縣","1955371","3953263","12589","797710","3006911","85513","2921398","臺北縣","6842578","6842578","0","8192616","8192616","888704","888704","臺北縣","0","0","0","0","0","1773395","490000","1283395"
"宜蘭縣","13325045","1448885","170718","宜蘭縣","293046","740126","244995","5141040","4921470","0","219570","宜蘭縣","472861","197413","110509","49372","115567","1717123","264040","宜蘭縣","916515","239707","0","296861","109695","31525","78170","宜蘭縣","2115937","2115937","0","1862073","1862073","356194","356194","宜蘭縣","0","22000","22000","0","0","79237","30000","49237"
"桃園縣","36226151","4148983","371635","桃園縣","860240","2378509","538599","18234059","17741857","0","492202","桃園縣","782941","341468","72295","175479","193699","3375770","172019","桃園縣","365493","2333709","0","504549","355436","10264","345172","桃園縣","3888614","3888614","0","4233428","4233428","400000","400000","桃園縣","0","0","0","0","0","806920","80000","726920"
"新竹縣","13159775","1751723","169447","新竹縣","281867","1036650","263759","5425445","5282293","0","143152","新竹縣","460140","287867","39959","61197","71117","673057","103500","新竹縣","61168","212513","0","295876","128709","1967","126742","新竹縣","2265209","2265209","0","1427642","1427642","452000","452000","新竹縣","0","0","0","0","0","575850","361100","214750"
"苗栗縣","14104649","1708829","194766","苗栗縣","225135","1025418","263510","5998401","5818917","0","179484","苗栗縣","273461","140868","66925","0","65668","670744","211400","苗栗縣","0","109825","5687","343832","108584","6831","101753","苗栗縣","3006914","3006914","0","1802583","1802583","274550","274550","苗栗縣","0","27000","0","27000","0","233583","80000","153583"
"臺中縣","32966455","3361497","340223","臺中縣","410659","2116107","494508","15981818","15729711","0","252107","臺中縣","664747","279956","45944","207649","131198","3832477","318713","臺中縣","208394","2785590","0","519780","293526","0","293526","臺中縣","2434296","2434296","0","3706731","3706731","785000","785000","臺中縣","0","0","0","0","0","1906363","60000","1846363"
"南投縣","16321447","1969320","236053","南投縣","290569","1196477","246221","6272702","6201766","0","70936","南投縣","468490","234087","128130","4736","101537","2130879","321093","南投縣","1226218","203214","10230","370124","239516","19855","219661","南投縣","2625281","2625281","0","2117703","2117703","297960","297960","南投縣","0","27000","27000","0","0","172596","24000","148596"
"彰化縣","26967427","2698233","260323","彰化縣","345988","1679480","412442","10958044","10821890","0","136154","彰化縣","539273","283970","73793","38621","142889","3210033","472828","彰化縣","280025","1970080","33630","453470","212523","41392","171131","彰化縣","4780351","4780351","0","3760908","3760908","363260","363260","彰化縣","0","58117","58117","0","0","386685","100000","286685"
"雲林縣","18273039","1928982","220222","雲林縣","264006","1142844","301910","6527459","6416882","0","110577","雲林縣","767925","629722","57423","20210","60570","2563302","130400","雲林縣","335366","1704438","0","393098","94700","19525","75175","雲林縣","3332775","3332775","0","2193882","2193882","570144","570144","雲林縣","0","83000","83000","0","0","210870","0","210870"
"嘉義縣","15991686","1832011","191198","嘉義縣","291612","1125634","223567","7311683","7203576","0","108107","嘉義縣","653610","417964","66875","93454","75317","2771798","448143","嘉義縣","0","1945205","10301","368149","120861","0","120861","嘉義縣","694793","694793","0","1884794","1884794","390000","390000","嘉義縣","0","153100","16100","137000","0","179036","0","179036"
"臺南縣","26586695","2901023","213104","臺南縣","413730","1826794","447395","9674000","9463533","0","210467","臺南縣","642413","332857","41014","59480","209062","3905604","0","臺南縣","13993","3320897","4881","565833","342584","64406","278178","臺南縣","4421356","4421356","0","3147900","3147900","921200","921200","臺南縣","0","283000","0","283000","0","347615","55000","292615"
"高雄縣","27392347","2881341","289850","高雄縣","349964","1783182","458345","13921445","13722849","0","198596","高雄縣","512020","237252","56571","115992","102205","3704994","467000","高雄縣","0","2633888","0","604106","938939","153841","785098","高雄縣","744070","744070","0","3770155","3770155","310383","310383","高雄縣","0","9000","9000","0","0","600000","300000","300000"
"屏東縣","22735059","2421517","269192","屏東縣","273039","1553563","325723","11552812","11378155","0","174657","屏東縣","859356","663216","96902","79629","19609","3177532","79355","屏東縣","411267","2036896","11822","638192","568807","10265","558542","屏東縣","668101","668101","0","2741204","2741204","310000","310000","屏東縣","0","186000","186000","0","0","249730","30000","219730"
"臺東縣","9419784","1210807","168109","臺東縣","240219","641275","161204","4205285","4116091","0","89194","臺東縣","255722","144549","7796","25789","77588","1424727","195373","臺東縣","261750","621524","7090","338990","122199","3950","118249","臺東縣","436600","436600","0","1509038","1509038","80000","80000","臺東縣","0","0","0","0","0","175406","0","175406"
"花蓮縣","12257946","1619187","176742","花蓮縣","526471","703832","212142","4322483","4219435","0","103048","花蓮縣","366017","293806","20193","3560","48458","1726261","238183","花蓮縣","751052","436685","10009","290332","370310","24066","346244","花蓮縣","1705000","1705000","0","1757988","1757988","217700","217700","花蓮縣","0","0","0","0","0","173000","50000","123000"
"澎湖縣","5616686","829835","125717","澎湖縣","155443","425985","122690","1548213","1461016","2455","84742","澎湖縣","325659","130717","78436","0","116506","922436","94006","澎湖縣","157713","445865","5596","219256","64521","1057","63464","澎湖縣","637121","637121","0","1106331","1106331","20000","20000","澎湖縣","0","52000","52000","0","0","110570","37000","73570"
"基隆市","13054953","2118865","218703","基隆市","320903","1285853","293406","4068910","3932829","0","136081","基隆市","588603","82270","43343","289188","173802","2085642","10753","基隆市","129789","1661285","13942","269873","725303","524","724779","基隆市","1434077","1434077","0","1690353","1690353","158000","158000","基隆市","0","0","0","0","0","185200","20000","165200"
"新竹市","12157844","1488878","149912","新竹市","238396","846439","254131","3978001","3769262","0","208739","新竹市","645643","159425","67765","214460","203993","1376708","29844","新竹市","60246","1140489","42659","103470","831484","38006","793478","新竹市","1783120","1783120","0","1431010","1431010","250000","250000","新竹市","0","0","0","0","0","373000","180000","193000"
"臺中市","25876950","3215189","279751","臺中市","419633","2050615","465190","10099048","9868521","0","230527","臺中市","985747","169626","132365","350267","333489","2232981","81123","臺中市","180385","1736848","0","234625","1425082","15436","1409646","臺中市","4059998","4059998","0","3378425","3378425","160480","160480","臺中市","0","0","0","0","0","320000","50000","270000"
"嘉義市","8344652","1419499","151842","嘉義市","215053","831526","221078","2650592","2520020","0","130572","嘉義市","276826","22654","11703","128915","113554","765689","21042","嘉義市","488111","140203","9341","106992","464031","11101","452930","嘉義市","1290700","1290700","0","1140986","1140986","105929","105929","嘉義市","0","0","0","0","0","230400","15000","215400"
"臺南市","18682231","2414964","258202","臺南市","245307","1565405","346050","6792861","6487638","0","305223","臺南市","774092","121210","73024","296571","283287","1244008","71442","臺南市","938","983741","0","187887","1024754","866","1023888","臺南市","3114010","3109815","4195","2642684","2642684","418000","418000","臺南市","0","0","0","0","0","256858","40000","216858"
"金門縣","6097026","848566","117917","金門縣","336218","346906","47525","1557933","1351345","0","206588","金門縣","1429863","735814","338055","152388","203606","1073767","42986","金門縣","107226","677753","0","245802","156661","0","156661","金門縣","392200","391000","1200","441317","441317","0","0","金門縣","0","102719","0","102719","0","94000","20000","74000"
"連江縣","1550924","420320","56498","連江縣","247400","98152","18270","410110","369083","0","41027","連江縣","239482","83374","16084","122499","17525","201131","1715","連江縣","0","31783","0","167633","85924","72101","13823","連江縣","21360","21360","0","129597","129597","5000","5000","連江縣","0","0","0","0","0","38000","10000","28000"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","96622319","7959086","537306","總  計","2039258","5081943","300579","16751315","14978224","0","1773091","總  計","50076837","10153067","2255697","28938534","8729539","5927943","0","總  計","687684","4672577","90","567592","9617324","1204071","8413253","總  計","0","0","0","2400327","2400327","0","0","總  計","0","14250","14250","0","0","3875237","195000","3680237",
"臺北縣","8270018","780355","29944","臺北縣","55284","660439","34688","1450934","1332745","0","118189","臺北縣","2765008","992573","2425","1718810","51200","153734","0","臺北縣","0","78101","0","75633","2754575","61410","2693165","臺北縣","0","0","0","365412","365412","0","0","臺北縣","0","0","0","0","0","0",,"0"
"宜蘭縣","3287317","875635","3026","宜蘭縣","701103","166737","4769","546746","406291","0","140455","宜蘭縣","1019645","220030","10150","244839","544626","62425","0","宜蘭縣","0","47410","0","15015","544195","502635","41560","宜蘭縣","0","0","0","68671","68671","0","0","宜蘭縣","0","0","0","0","0","170000","0","170000"
"桃園縣","11851072","635236","11850","桃園縣","90181","501825","31380","3929609","3815812","0","113797","桃園縣","4128337","1106405","62000","2177232","782700","163000","0","桃園縣","0","111225","0","51775","2052912","69700","1983212","桃園縣","0","0","0","461978","461978","0","0","桃園縣","0","0","0","0","0","480000","0","480000"
"新竹縣","10256565","169896","1585","新竹縣","88020","68441","11850","931115","903293","0","27822","新竹縣","4407263","66340","110375","3522554","707994","3040178","0","新竹縣","0","2987641","0","52537","1389804","0","1389804","新竹縣","0","0","0","84146","84146","0","0","新竹縣","0","0","0","0","0","234163","0","234163"
"苗栗縣","3422505","134424","4308","苗栗縣","3800","117781","8535","380441","350467","0","29974","苗栗縣","1319677","133100","523600","563596","99381","1261941","0","苗栗縣","0","1257851","0","4090","88045","39650","48395","苗栗縣","0","0","0","62705","62705","0","0","苗栗縣","0","0","0","0","0","175272","0","175272"
"","5893395","817566","84840","臺中縣","76730","636803","19193","1548724","1094272","0","454452","臺中縣","2794629","897580","0","1705299","191750","81315","0","臺中縣","0","50985","0","30330","61784","1000","60784","臺中縣","0","0","0","200777","200777","0","0","臺中縣","0","0","0","0","0","388600","0","388600"
"南投縣","3108567","442179","46000","","259674","131374","5131","274541","264726","0","9815","南投縣","1944838","479593","504567","960678","0","37479","0","南投縣","0","0","0","37479","177767","164272","13495","南投縣","0","0","0","37462","37462","0","0","南投縣","0","0","0","0","0","194301","0","194301"
"彰化縣","3746552","137387","8800","彰化縣","74662","50925","3000","741772","706022","0","35750","彰化縣","2100900","641473","0","751182","708245","27213","0","彰化縣","0","2000","0","25213","266556","5500","261056","彰化縣","0","0","0","162724","162724","0","0","彰化縣","0","0","0","0","0","310000","0","310000"
"雲林縣","3661299","97456","6401","雲林縣","11111","78557","1387","317015","298640","0","18375","雲林縣","2860384","1658959","5773","519691","675961","9490","0","雲林縣","0","3830","0","5660","59304","0","59304","雲林縣","0","0","0","37650","37650","0","0","雲林縣","0","0","0","0","0","280000","60000","220000"
"嘉義縣","2989858","189524","4650","嘉義縣","112780","62494","9600","358389","315325","0","43064","嘉義縣","2097723","575937","23090","1426943","71753","213736","0","嘉義縣","190100","254","0","23382","3874","0","3874","嘉義縣","0","0","0","46612","46612","0","0","嘉義縣","0","0","0","0","0","80000","80000","0"
"臺南縣","4828746","643709","800","臺南縣","35014","531883","76012","684036","588371","0","95665","臺南縣","2543960","961231","1500","1435955","145274","37687","0","臺南縣","0","15000","0","22687","504643","151431","353212","臺南縣","0","0","0","100556","100556","0","0","臺南縣","0","0","0","0","0","314155","0","314155"
"高雄縣","3358981","218183","35303","高雄縣","58606","99270","25004","792231","708174","0","84057","高雄縣","1720531","538495","371340","793496","17200","358554","0","高雄縣","312584","26821","0","19149","163843","45","163798","高雄縣","0","0","0","105639","105639","0","0","高雄縣","0","0","0","0","0","0","0","0"
"屏東縣","3811941","345753","8030","屏東縣","3008","330415","4300","507744","461376","0","46368","屏東縣","2505717","263607","102192","2013598","126320","23599","0","屏東縣","0","23","0","23576","125382","0","125382","屏東縣","0","0","0","37500","37500","0","0","屏東縣","0","0","0","0","0","266246","0","266246"
"臺東縣","1742536","105315","10000","臺東縣","1240","88132","5943","254718","232613","0","22105","臺東縣","1008608","2160","0","187574","818874","174894","0","臺東縣","113000","0","0","61894","126110","0","126110","臺東縣","0","0","0","22891","22891","0","0","臺東縣","0","0","0","0","0","50000","50000","0"
"花蓮縣","2942014","74032","12673","花蓮縣","16345","41320","3694","371529","342760",,"28769","花蓮縣","2148835","188161","17400","370689","1572585","19254","0","花蓮縣","0","0","0","19254","122910","4549","118361","花蓮縣","0","0","0","53454","53454","0","0","花蓮縣","0","0","0","0","0","152000","0","152000"
"澎湖縣","856861","25564","5560","澎湖縣","970","18534","500","156128","136345","0","19783","澎湖縣","341820","108130","91220","142470","0","93217","0","澎湖縣","72000","1200","0","20017","205825","14000","191825","澎湖縣","0","0","0","34307","34307","0","0","澎湖縣","0","0","0","0","0","0","0","0"
"基隆市","3725530","521975","4100","基隆市","256723","253092","8060","615255","606705","0","8550","基隆市","2029279","55786","99550","1774043","99900","54295","0","基隆市","0","23897","0","30398","222283","118770","103513","基隆市","0","0","0","107443","107443","0","0","基隆市","0","0","0","0","0","175000","0","175000"
"新竹市","2056068","355869","150720","新竹市","2736","198543","3870","548575","543755","0","4820","新竹市","868508","43000","148000","672508","5000","4690","0","新竹市","0","4600","90","0","57050","0","57050","新竹市","0","0","0","76376","76376","0","0","新竹市","0","0","0","0","0","145000","0","145000"
"臺中市","6392199","291717","3428","臺中市","24500","246889","16900","864709","803004","0","61705","臺中市","4533739","684745","101850","3500575","246569","45744","0","臺中市","0","38645","0","7099","171290",,"171290","臺中市","0","0","0","160000","160000","0","0","臺中市","0","0","0","0","0","325000","0","325000"
"嘉義市","2400605","286523","94193","嘉義市","121092","63628","7610","225551","207754","0","17797","嘉義市","1762728","0","0","1270903","491825","3013","0","嘉義市","0","642","0","2371","68300","0","68300","嘉義市","0","0","0","54490","54490","0","0","嘉義市","0","0","0","0","0","0","0","0"
"臺南市","4568374","605602","4635","臺南市","26100","558007","16860","926584","655521","0","271063","臺南市","2843695","48945","64000","2274944","455806","14284","0","臺南市","0","13246","0","1038","55486","21109","34377","臺南市","0","0","0","92723","92723","0","0","臺南市","0","0","0","0","0","30000","0","30000"
"金門縣","2465795","161559","1465","金門縣","18275","139526","2293","294149","184665","0","109484","金門縣","1556505","239157","16665","907195","393488","30420","0","金門縣","0","9206","0","21214","315281","0","315281","金門縣","0","0","0","22381","22381","0","0","金門縣","0","0","0","0","0","85500","0","85500"
"連江縣","985521","43627","4995","連江縣","1304","37328","0","30820","19588","0","11232","連江縣","774508","247660","0","3760","523088","17781","0","連江縣","0","0","0","17781","80105","50000","30105","連江縣","0","0","0","4430","4430","0","0","連江縣","0","14250","14250","0","0","20000","5000","15000"

