,,,"","",,,,
,,,"","",,,,
,,,"","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","509066589","100","469006631","100","429518244","100","40059958","8.54144810587976"
"","203099744","39.9","195397673","41.66","199872193","46.53","7702071","3.94174141469945"
"","5","0","5","0","1206","0","0","0"
"","7943872","1.56","8031398","1.71","10396809","2.42","-87526","-1.08979781602157"
"","10825931","2.13","10963087","2.34","11090021","2.58","-137156","-1.25107098028138"
"","1080","0","5701","0","1424","0","-4621","-81.0559550955973"
"","9893707","1.94","7461149","1.59","7819329","1.82","2432558","32.602994525374"
"","6334429","1.24","7675435","1.64","2868727","0.67","-1341006","-17.471400643742"
"","258931356","50.86","228753276","48.77","184171684","42.88","30178080","13.1924143460136"
"","4187580","0.82","4163068","0.89","4578931","1.07","24512","0.588796531788575"
"","184179","0.04","79202","0.02","76001","0.02","104977","132.543370116916"
"","7664706","1.51","6476637","1.38","8641919","2.01","1188069","18.3439183020447"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","532306116","100","500051156","100","461963370","100","32254960","6.45033205362693"
"","57142761","10.74","54341809","10.85","48695114","10.53","2800952","5.15432233770503"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","184627106","34.68","176246646","35.25","164687506","35.65","8380460","4.75496140788971"
"","78744972","14.79","69901524","13.98","77553033","16.79","8843448","12.6512949846415"
"","62859192","11.81","54548780","10.91","49233752","10.66","8310412","15.2348265167434"
"","17026244","3.2","14690613","2.94","13792546","2.99","2335631","15.8987987771511"
"","53300505","10.01","55702537","11.14","44317608","9.59","-2402032","-4.31224882988723"
"","54301013","10.2","52445486","10.49","48763427","10.56","1855527","3.53801087857209"
"","10727776","2.02","9990405","2","6114851","1.32","737371","7.38079186979907"
"","700878","0.13","782612","0.16","790181","0.17","-81734","-10.4437447930775"
"","12875669","2.42","11400744","2.28","8015352","1.74","1474925","12.9370942808645"
,,,,,,,,
"","-23239527",,"-31044525",,"-32445126",,"7804998",
"",,,,,

