,"各縣(市)總預算",,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,
,"歲出政事別預算總表",,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7(Œ~	N)7(Œ~ÛV)7(Œ~”N)7-NïƒlW96t^¦^7-NïƒlW796t^¦^7N,‚?e
ÙR/eúQЀ7?e
kLˆ
"南投縣","19384370","2057344","264994","南投縣","367135","1175585","249630","6612187","6441293","0","170894","南投縣","2396302","679520","703891","904388","108503","2250809","314098","南投縣","1246983","315160","10102","364466","325142","181432","143710","南投縣","2700000","2700000","0","2250107","2250107","356719","356719","南投縣","0","23000","23000","0","0","412760","70000","342760"
"彰化縣","31808345","2783787","277318","彰化縣","359427","1729569","417473","12072637","11905091","0","167546","彰化縣","3731288","1452361","42903","1482705","753319","3128636","465478","彰化縣","289361","1868221","34129","471447","349654","25056","324598","彰化縣","4734603","4734603","0","3868099","3868099","391224","391224","彰化縣","0","58117","58117","0","0","690300","100000","590300"
"雲林縣","23300000","2093081","227649","雲林縣","261857","1308539","295036","7121272","6851663","0","269609","雲林縣","4628986","1229410","54053","2110038","1235485","2641861","83000","雲林縣","324544","1855909","0","378408","140898","13418","127480","雲林縣","3310421","3310421","0","2260054","2260054","525557","525557","雲林縣","0","72000","72000","0","0","505870","60000","445870"
"嘉義縣","20263300","1857025","201714","嘉義縣","319252","1106457","229602","8037176","7866795","0","170381","嘉義縣","3900704","1658283","64614","2032870","144937","2939069","448112","嘉義縣","202633","1878680","7353","402291","211827","0","211827","嘉義縣","594793","594793","0","1900006","1900006","433540","433540","嘉義縣","0","129160","16160","113000","0","260000","80000","180000"
"臺南縣","30986111","3410048","313741","臺南縣","389382","1963324","743601","10438374","10201627","0","236747","臺南縣","3233345","1332481","46950","1628378","225536","3419043","0","臺南縣","1586338","1323253","1552","507900","785972","326654","459318","臺南縣","4862402","4862402","0","3148784","3148784","939943","939943","臺南縣","0","128000","0","128000","0","620200","55000","565200"
"高雄縣","32185135","3125168","312163","高雄縣","472939","1899966","440100","14678750","14429251","0","249499","高雄縣","3819337","1780188","358268","1611741","69140","4310530","441894","高雄縣","332667","2918298","0","617671","863596","124033","739563","高雄縣","860882","860882","0","3663872","3663872","300000","300000","高雄縣","0","13000","13000","0","0","550000","250000","300000"
"屏東縣","27194100","2536639","282286","屏東縣","336250","1585585","332518","12721173","12393021","0","328152","屏東縣","3611530","1246552","217750","1858891","288337","3235402","86128","屏東縣","430927","2016573","31048","670726","567573","10038","557535","屏東縣","732848","732848","0","2775873","2775873","345200","345200","屏東縣","0","150000","150000","0","0","517862","30000","487862"
"臺東縣","11834186","1348789","193205","臺東縣","245754","752792","157038","4715418","4564814","0","150604","臺東縣","1498989","337626","11855","190582","958926","1611340","202378","臺東縣","382292","650606","5896","370168","254533","3774","250759","臺東縣","491400","491400","0","1545289","1545289","120000","120000","臺東縣","0","0","0","0","0","248428","60000","188428"
"花蓮縣","17782441","1684971","210785","花蓮縣","288344","948359","237483","4933811","4767870","0","165941","花蓮縣","4587612","445254","58462","1127131","2956765","1880809","239183","花蓮縣","827862","503438","7920","302406","430225","25614","404611","花蓮縣","1787203","1787203","0","1839610","1839610","262200","262200","花蓮縣","0","0","0","0","0","376000","50000","326000"
"澎湖縣","7446924","882349","131675","澎湖縣","149957","478512","122205","2028030","1749767","9494","268769","澎湖縣","1298792","357401","394302","374478","172611","1111317","93417","澎湖縣","237469","514866","5014","260551","158079","15907","142172","澎湖縣","635464","635464","0","1118283","1118283","35000","35000","澎湖縣","0","61000","61000","0","0","118610","42000","76610"
"基隆市","16399885","2361575","204716","基隆市","329322","1520510","307027","4705344","4539829","0","165515","基隆市","2510142","158932","259829","1816031","275350","2101754","10753","基隆市","146875","1643708","15847","284571","835703","24014","811689","基隆市","1569868","1569868","0","1807299","1807299","158000","158000","基隆市","0","0","0","0","0","350200","20000","330200"
"新竹市","16655000","1856348","273600","新竹市","263124","1060354","259270","4922977","4667875","0","255102","新竹市","2894573","214742","460019","1994095","225717","1782964","29844","新竹市","68625","1529400","44130","110965","854853","38745","816108","新竹市","1865339","1865339","0","1562946","1562946","250000","250000","新竹市","0","0","0","0","0","665000","300000","365000"
"臺中市","33069717","3435364","296855","臺中市","405586","2234041","498882","11284334","10960115","0","324219","臺中市","4875206","676815","429814","3164990","603587","2322578","553","臺中市","173445","1905768","0","242812","1570301","15707","1554594","臺中市","4268174","4268174","0","4458760","4458760","180000","180000","臺中市","0","0","0","0","0","675000","50000","625000"
"嘉義市","10404343","1658138","177429","嘉義市","320413","932734","227562","3312633","3114003","0","198630","嘉義市","1293015","21641","14177","835883","421314","808882","21042","嘉義市","529004","141158","8146","109532","474180","11858","462322","嘉義市","1300830","1300830","0","1245782","1245782","89483","89483","嘉義市","0","0","0","0","0","221400","15000","206400"
"臺南市","23961718","2952707","267715","臺南市","294136","2042089","348767","7740131","7302977","0","437154","臺南市","3588858","651685","119054","2221919","596200","1606943","68490","臺南市","1077","1285766","0","251610","1312240","183142","1129098","臺南市","3213847","3210852","2995","2806775","2806775","466000","466000","臺南市","0","0","0","0","0","274217","40000","234217"
"金門縣","9089855","1122231","160537","金門縣","391769","522931","46994","1865288","1550675","0","314613","金門縣","3144433","1057481","246838","1392785","447329","1134268","42513","金門縣","114911","701912","0","274932","518681","0","518681","金門縣","544400","543000","1400","481120","481120","0","0","金門縣","0","90434","0","90434","0","189000","20000","169000"
"連江縣","2916062","454643","63275","連江縣","236233","135671","19464","515443","419173","0","96270","連江縣","1155640","277205","8882","351787","517766","263075","1715","連江縣","0","39447","0","221913","280411","218045","62366","連江縣","23812","23812","0","147988","147988","4500","4500","連江縣","0","14250","14250","0","0","56300","15000","41300"
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,
"總  計","455050044","51198144","4979855","總  計","8887260","30222454","7108575","188050587","183469392","9494","4571701","總  計","15231390","7060196","1817514","3139434","3214246","54028761","3784656","總  計","9916155","31902001","203434","8222515","11154567","547881","10606686","總  計","57950198","57945803","4395","57912550","57912550","8724964","8724964","總  計","0","759711","409277","350434","0","10039172","2279900","7759272",,
"臺北縣","66778831","6446772","323809","臺北縣","1625308","3730220","767435","29097067","28418558","0","678509","臺北縣","1261496","289314","295847","555347","120988","7450216","161000","臺北縣","2200439","4258488","10520","819769","2620016","113009","2507007","臺北縣","8476294","8476294","0","8622496","8622496","973652","973652","臺北縣",,"0","0","0","0","1830822","490000","1340822"
"宜蘭縣","19537276","2138563","207571","宜蘭縣","583668","1055350","291974","5396490","5063025","0","333465","宜蘭縣","1309758","660861","195580","154312","299005","2139024","275762","宜蘭縣","866831","646615","0","349816","173259","53316","119943","宜蘭縣","5087947","5087947","0","2216949","2216949","627572","627572","宜蘭縣","0","16000","16000","0","0","431714","36800","394914"
"桃園縣","38103358","4267504","365865","桃園縣","786028","2602925","512686","19700373","19450286","0","250087","桃園縣","497705","205311","64383","115508","112503","3704236","163654","桃園縣","377438","2743646","0","419498","287638","8146","279492","桃園縣","3888614","3888614","0","4478288","4478288","500000","500000","桃園縣","0","0","0","0","0","779000","80000","699000"
"新竹縣","13780284","1870521","171921","新竹縣","262489","1166477","269634","5553218","5412541","0","140677","新竹縣","377211","207482","37932","63590","68207","639797","104000","新竹縣","87340","150785","0","297672","146714","1767","144947","新竹縣","2390479","2390479","0","1482494","1482494","634000","634000","新竹縣","0","0","0","0","0","685850","461100","224750"
"苗栗縣","13885063","1749858","179816","苗栗縣","275702","1027384","266956","6087139","5917988","0","169151","苗栗縣","315645","154331","20918","35514","104882","708493","204000","苗栗縣","0","121326","21851","361316","99719","5231","94488","苗栗縣","2394217","2394217","0","1904209","1904209","350000","350000","苗栗縣","0","19000","0","19000","0","256783","100000","156783"
"臺中縣","31401257","3116525","341431","臺中縣","398271","1886669","490154","14785203","14542267","0","242936","臺中縣","586989","204232","35443","203519","143795","4074641","327642","臺中縣","222394","3038305","0","486300","265725","0","265725","臺中縣","2216361","2216361","0","3611961","3611961","782374","782374","臺中縣","0","0","0","0","0","1961478","60000","1901478"
"南投縣","16507763","1871300","235346","南投縣","300140","1088843","246971","6307268","6185431","0","121837","南投縣","471451","260136","100304","2508","108503","2245413","314098","南投縣","1246983","315160","10102","359070","141491","14806","126685","南投縣","2700000","2700000","0","2172525","2172525","356719","356719","南投縣","0","23000","23000","0","0","218596","70000","148596"
"彰化縣","26932878","2657460","253918","彰化縣","343376","1646213","413953","11160123","11012242","0","147881","彰化縣","518272","287359","42903","32164","155846","3117218","465478","彰化縣","289361","1866721","34129","461529","170497","19056","151441","彰化縣","4734603","4734603","0","3755064","3755064","391224","391224","彰化縣","0","58117","58117","0","0","370300","100000","270300"
"雲林縣","18536394","1985207","223287","雲林縣","257726","1212559","291635","6714649","6546827","0","167822","雲林縣","747001","611753","52250","19286","63712","2636068","83000","雲林縣","324544","1855259","0","373265","120202","13418","106784","雲林縣","3310421","3310421","0","2212419","2212419","525557","525557","雲林縣","0","72000","72000","0","0","212870","0","212870"
"嘉義縣","16268465","1777635","186754","嘉義縣","299417","1068467","222997","7316959","7200055","0","116904","嘉義縣","1125459","903575","56614","88816","76454","2712108","448112","嘉義縣","0","1878466","7353","378177","134732","0","134732","嘉義縣","594793","594793","0","1864079","1864079","433540","433540","嘉義縣","0","129160","16160","113000","0","180000","0","180000"
"臺南縣","25707894","2637546","212941","臺南縣","372724","1628813","423068","9368028","9191533","0","176495","臺南縣","534338","297496","46200","38056","152586","3401303","0","臺南縣","1586338","1317903","1552","495510","465049","67201","397848","臺南縣","4862402","4862402","0","3060947","3060947","939943","939943","臺南縣","0","128000","0","128000","0","310338","55000","255338"
"高雄縣","26878306","2765727","266782","高雄縣","396996","1672793","429156","13734668","13570245","0","164423","高雄縣","459976","222753","51592","116492","69139","3900656","441894","高雄縣","0","2896114",,"562648","770886","123988","646898","高雄縣","860882","860882","0","3522511","3522511","300000","300000","高雄縣","0","13000","13000","0","0","550000","250000","300000"
"屏東縣","23034156","2411039","274656","屏東縣","331650","1482198","322535","11824419","11618537","0","205882","屏東縣","865372","701831","83442","59540","20559","3190638","86128","屏東縣","430927","2012151","31013","630419","534983","10038","524945","屏東縣","732848","732848","0","2734391","2734391","345200","345200","屏東縣","0","150000","150000","0","0","245266","30000","215266"
"臺東縣","9927595","1263290","178805","臺東縣","245158","683831","155496","4500010","4373660","0","126350","臺東縣","265624","146688","11855","25582","81499","1464121","202378","臺東縣","262292","650606","5896","342949","110957","3774","107183","臺東縣","491400","491400","0","1523765","1523765","120000","120000","臺東縣","0","0","0","0","0","188428","0","188428"
"花蓮縣","12659952","1514519","177387","花蓮縣","266961","838233","231938","4491314","4358983","0","132331","花蓮縣","458586","308666","49870","28542","71508","1872641","239183","花蓮縣","827862","503438","7920","294238","304285","25614","278671","花蓮縣","1787203","1787203","0","1771204","1771204","262200","262200","花蓮縣","0","0","0","0","0","198000","50000","148000"
"澎湖縣","5805944","816067","128155","澎湖縣","140182","427302","120428","1594106","1480850","9494","103762","澎湖縣","402898","151245","79042","0","172611","985551","93417","澎湖縣","159469","507666","5014","219985","79188","4407","74781","澎湖縣","635464","635464","0","1078060","1078060","35000","35000","澎湖縣","0","61000","61000","0","0","118610","42000","76610"
"基隆市","13106771","2061278","203116","基隆市","316519","1243344","298299","4082001","3943157","0","138844","基隆市","498360","80862","47475","198849","171174","2065002","10753","基隆市","146875","1630986","15847","260541","767449","21965","745484","基隆市","1569868","1569868","0","1719613","1719613","158000","158000","基隆市","0","0","0","0","0","185200","20000","165200"
"新竹市","13167444","1527151","151940","新竹市","258799","863187","253225","4375721","4190987",,"184734","新竹市","630530","150642","69659","224162","186067","1772292","29844","新竹市","68625","1519617","44091","110115","798399","29745","768654","新竹市","1865339","1865339","0","1450012","1450012","250000","250000","新竹市","0","0","0","0","0","498000","300000","198000"
"臺中市","27366356","3222089","277371","臺中市","385306","2088200","471212","10290044","10025952","0","264092","臺中市","1085795","179415","149964","396795","359621","2260759","553","臺中市","173445","1850433","0","236328","1423731","15707","1408024","臺中市","4268174","4268174","0","4310764","4310764","180000","180000","臺中市","0","0","0","0","0","325000","50000","275000"
"嘉義市","8361538","1414732","159179","嘉義市","212687","821878","220988","2722139","2573565","0","148574","嘉義市","270327","21641","14177","126550","107959","805185","21042","嘉義市","529004","140421","8146","106572","452979","11858","441121","嘉義市","1300830","1300830","0","1188463","1188463","89483","89483","嘉義市","0","0","0","0","0","117400","15000","102400"
"臺南市","19332306","2402150","261434","臺南市","249336","1549203","342177","6913182","6619349","0","293833","臺南市","777587","132395","67054","277523","300615","1586385","68490","臺南市","1077","1267038","0","249780","1097568","1130","1096438","臺南市","3213847","3210852","2995","2631370","2631370","466000","466000","臺南市","0","0","0","0","0","244217","40000","204217"
"金門縣","6270091","869037","142071","金門縣","345163","335609","46194","1585116","1389971","0","195145","金門縣","1374375","751363","236128","154725","232159","1092272","42513","金門縣","114911","691520","0","243328","155254","0","155254","金門縣","544400","543000","1400","464203","464203","0","0","金門縣","0","90434","0","90434","0","95000","20000","75000"
"連江縣","1700122","412174","56300","連江縣","233654","102756","19464","451350","383383","0","67967","連江縣","396635","130845","8882","222054","34854","204742","1715","連江縣","0","39337","0","163690","33846","3705","30141","連江縣","23812","23812","0","136763","136763","4500","4500","連江縣","0","0","0","0","0","36300","10000","26300"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","106834762","8070644","567401","總  計","2174319","4822707","506217","17831098","15775014","0","2056084","總  計","59829150","11819098","2488076","35370753","10151223","6228902","0","總  計","733300","4988075","74","507453","8445212","1521581","6923631","總  計","0","0","0","2259138","2259138","0","0","總  計","0","14250","14250","0","0","4156368","205000","3951368",
"臺北縣","9679280","681863","29001","臺北縣","101098","509776","41988","2275410","2107041","0","168369","臺北縣","3853729","712152","850","3032397","108330","134961","0","臺北縣","0","72535","0","62426","2427568","58100","2369468","臺北縣","0","0","0","305749","305749","0","0","臺北縣","0","0","0","0","0","0","0","0"
"宜蘭縣","3450724","164879","1000","宜蘭縣","26710","135769","1400","575233","442018","0","133215","宜蘭縣","1864298","265022","3000","1442404","153872","27441","0","宜蘭縣","0","24796","0","2645","523332","481959","41373","宜蘭縣","0","0","0","55541","55541","0","0","宜蘭縣","0","0","0","0","0","240000","0","240000"
"桃園縣","7779274","695204","8200","桃園縣","10130","670306","6568","1231716","1153754","0","77962","桃園縣","3971524","1544641","23702","1709017","694164","65634","0","桃園縣","0","40330","0","25304","1093330","0","1093330","桃園縣","0","0","0","261866","261866","0","0","桃園縣","0","0","0","0","0","460000","0","460000"
"新竹縣","11521533","1815553","3535","新竹縣","1501385","308328","2305","1341133","1171813","0","169320","新竹縣","2998579","125566","136274","1926804","809935","3346034","0","新竹縣","0","3338743",,"7291","1681743","0","1681743","新竹縣","0","0","0","85473","85473","0","0","新竹縣","0","0","0","0","0","253018","0","253018"
"苗栗縣","4751301","181809","2450","苗栗縣","20370","153549","5440","650483","623934","0","26549","苗栗縣","2036209","168765","0","1276277","591167","1357377","0","苗栗縣","0","1328847","0","28530","269254","129497","139757","苗栗縣","0","0","0","69805","69805","0","0","苗栗縣","0","0","0","0","0","186364","0","186364"
"","6535133","519530","53000","臺中縣","39540","401390","25600","1483242","1215342","0","267900","臺中縣","3818645","764040","0","2896806","157799","60529","0","臺中縣","0","33497","0","27032","77613","1000","76613","臺中縣","0","0","0","196210","196210","0","0","臺中縣","0","0","0","0","0","379364","0","379364"
"南投縣","2876607","186044","29648","南投縣","66995","86742","2659","304919","255862","0","49057","南投縣","1924851","419384","603587","901880","0","5396","0","南投縣","0","0","0","5396","183651","166626","17025","南投縣","0","0","0","77582","77582","0","0","南投縣","0","0","0","0","0","194164","0","194164"
"彰化縣","4875467","126327","23400","彰化縣","16051","83356","3520","912514","892849","0","19665","彰化縣","3213016","1165002","0","1450541","597473","11418","0","彰化縣","0","1500","0","9918","179157","6000","173157","彰化縣","0","0","0","113035","113035","0","0","彰化縣","0","0","0","0","0","320000","0","320000"
"雲林縣","4763606","107874","4362","雲林縣","4131","95980","3401","406623","304836","0","101787","雲林縣","3881985","617657","1803","2090752","1171773","5793","0","雲林縣","0","650","0","5143","20696","0","20696","雲林縣","0","0","0","47635","47635","0",,"雲林縣","0","0","0","0","0","293000","60000","233000"
"嘉義縣","3994835","79390","14960","嘉義縣","19835","37990","6605","720217","666740","0","53477","嘉義縣","2775245","754708","8000","1944054","68483","226961","0","嘉義縣","202633","214","0","24114","77095","0","77095","嘉義縣","0","0","0","35927","35927","0","0","嘉義縣","0","0","0","0","0","80000","80000","0"
"臺南縣","5278217","772502","100800","臺南縣","16658","334511","320533","1070346","1010094","0","60252","臺南縣","2699007","1034985","750","1590322","72950","17740","0","臺南縣","0","5350","0","12390","320923","259453","61470","臺南縣","0","0","0","87837","87837","0","0","臺南縣","0","0","0","0","0","309862","0","309862"
"高雄縣","5306829","359441","45381","高雄縣","75943","227173","10944","944082","859006","0","85076","高雄縣","3359361","1557435","306676","1495249","1","409874","0","高雄縣","332667","22184","0","55023","92710","45","92665","高雄縣","0","0","0","141361","141361","0","0","高雄縣","0","0","0","0","0","0","0","0"
"屏東縣","4159944","125600","7630","","4600","103387","9983","896754","774484","0","122270","屏東縣","2746158","544721","134308","1799351","267778","44764","0","屏東縣","0","4422","35","40307","32590","0","32590","屏東縣","0","0","0","41482","41482","0","0","屏東縣","0","0","0","0","0","272596","0","272596"
"臺東縣","1906591","85499","14400","臺東縣","596","68961","1542","215408","191154","0","24254","臺東縣","1233365","190938","0","165000","877427","147219","0","臺東縣","120000","0","0","27219","143576","0","143576","臺東縣","0","0","0","21524","21524","0","0","臺東縣","0","0","0","0","0","60000","60000","0"
"花蓮縣","5122489","170452","33398","花蓮縣","21383","110126","5545","442497","408887","0","33610","花蓮縣","4129026","136588","8592","1098589","2885257","8168","0","花蓮縣","0","0","0","8168","125940","0","125940","花蓮縣","0","0","0","68406","68406","0","0","花蓮縣","0","0","0","0","0","178000","0","178000"
"澎湖縣","1640980","66282","3520","澎湖縣","9775","51210","1777","433924","268917","0","165007","澎湖縣","895894","206156","315260","374478","0","125766","0","澎湖縣","78000","7200","0","40566","78891","11500","67391","澎湖縣","0","0","0","40223","40223","0","0","澎湖縣","0","0","0","0","0","0","0","0"
"基隆市","3293114","300297","1600","基隆市","12803","277166","8728","623343","596672","0","26671","基隆市","2011782","78070","212354","1617182","104176","36752","0","基隆市","0","12722","0","24030","68254","2049","66205","基隆市","0","0","0","87686","87686","0","0","基隆市","0","0","0","0","0","165000","0","165000"
"新竹市","3487556","329197","121660","新竹市","4325","197167","6045","547256","476888","0","70368","新竹市","2264043","64100","390360","1769933","39650","10672","0","新竹市","0","9783","39","850","56454","9000","47454","新竹市","0","0","0","112934","112934","0","0","新竹市","0","0","0","0","0","167000","0","167000"
"臺中市","5703361","213275","19484","臺中市","20280","145841","27670","994290","934163","0","60127","臺中市","3789411","497400","279850","2768195","243966","61819","0","臺中市","0","55335","0","6484","146570","0","146570","臺中市","0","0","0","147996","147996","0","0","臺中市","0","0","0","0","0","350000","0","350000"
"嘉義市","2042805","243406","18250","嘉義市","107726","110856","6574","590494","540438","0","50056","嘉義市","1022688","0","0","709333","313355","3697","0","嘉義市","0","737","0","2960","21201","0","21201","嘉義市","0","0","0","57319","57319","0","0","嘉義市","0","0","0","0","0","104000","0","104000"
"臺南市","4629412","550557","6281","臺南市","44800","492886","6590","826949","683628","0","143321","臺南市","2811271","519290","52000","1944396","295585","20558","0","臺南市","0","18728","0","1830","214672","182012","32660","臺南市","0","0","0","175405","175405","0","0","臺南市","0","0","0","0","0","30000","0","30000"
"金門縣","2819764","253194","18466","金門縣","46606","187322","800","280172","160704","0","119468","金門縣","1770058","306118","10710","1238060","215170","41996","0","金門縣","0","10392","0","31604","363427","0","363427","金門縣","0","0","0","16917","16917","0","0","金門縣","0","0","0","0","0","94000","0","94000"
"連江縣","1215940","42469","6975","連江縣","2579","32915","0","64093","35790","0","28303","連江縣","759005","146360","0","129733","482912","58333","0","連江縣","0","110","0","58223","246565","214340","32225","連江縣","0","0","0","11225","11225","0","0","連江縣","0","14250","14250","0","0","20000","5000","15000"

