,"各縣(市)總預算",,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,,"各縣(市)","總預算",,,,,,
,"歲出政事別預算總表",,,,,,"歲出政事別","預算總表",,,"(續N)",,,,"歲出政事別","預算總表",,,"(Œ~ŒN)7	(Œ~	N)7	(Œ~ÛV)7	(Œ~”N)7		-NïƒlW]NAS	Nt^¦^7	-NïƒlW7	]NAS	Nt^¦^7	N,‚?e
ÙR/eúQЀ7	?e
kLˆ
"南投縣","19702338","2124258","251497","南投縣","457122","1146142","269497","5947895","5845277","0","102618","南投縣","3924383","1883222","943661","1019282","78218","1966602","329699","南投縣","1149112","125368","8277","354146","182901","95926","86975","南投縣","2366793","2366793","0","2029794","2029794","190959","190959","南投縣","0","598431","598431","0","0","370322","24000","346322"
"彰化縣","31455581","2638353","306563","彰化縣","341086","1562109","428595","12802388","12427284","0","375104","彰化縣","3036981","1108750","45601","796757","1085873","2969613","0","彰化縣","273042","2223682","35546","437343","386260","73908","312352","彰化縣","4466969","4466969","0","4035325","4035325","418240","418240","彰化縣","0","46152","46152","0","0","655300","70000","585300"
"雲林縣","23886989","1997299","214503","雲林縣","263376","1187289","332131","7904941","7717981","0","186960","雲林縣","4124047","1536747","42213","1291023","1254064","2585359","210601","雲林縣","313655","1705809","0","355294","285779","22948","262831","雲林縣","2903033","2903033","0","2223836","2223836","479254","479254","雲林縣","0","876571","876571","0","0","506870","60000","446870"
"嘉義縣","18086000","2049000","206605","嘉義縣","443139","1160484","238772","7519406","7403695","0","115711","嘉義縣","1559954","706062","78036","667605","108251","2797177","442173","嘉義縣","181000","1789644","10356","374004","126419","0","126419","嘉義縣","554500","554500","0","1830886","1830886","536226","536226","嘉義縣","0","822387","658387","164000","0","290045","80000","210045"
"臺南縣","30652018","3496954","235010","臺南縣","379908","2128257","753779","10017477","9810143","0","207334","臺南縣","4285398","1327809","237089","2357730","362770","3878789","0","臺南縣","14527","3312819","8201","543242","800359","530190","270169","臺南縣","3552814","3552814","0","3116077","3116077","563014","563014","臺南縣","0","314000","0","314000","0","627136","55000","572136"
"高雄縣","29191604","2803480","281693","高雄縣","401321","1662407","458059","12730635","12556275","0","174360","高雄縣","2600295","1250491","422079","839919","87806","3536583","512560","高雄縣","293916","2207546","0","522561","1285698","147483","1138215","高雄縣","581700","581700","0","3634889","3634889","478928","478928","高雄縣","0","860811","860811","0","0","678585","150000","528585"
"屏東縣","25253000","2704159","280798","屏東縣","303821","1759963","359577","11885997","11277305","0","608692","屏東縣","3187128","935042","90253","845719","1316114","2651289","29949","屏東縣","2493","2053077","0","565770","436759","462","436297","屏東縣","477640","477640","0","2794184","2794184","400000","400000","屏東縣","0","209000","0","209000","0","506844","30000","476844"
"臺東縣","11078724","1235620","184598","臺東縣","202316","686655","162051","3396813","3285754","0","111059","臺東縣","1618502","222189","6607","190489","1199217","1539092","183376","臺東縣","281461","713722","8525","352008","164974","3950","161024","臺東縣","1319629","1319629","0","1505978","1505978","60000","60000","臺東縣","0","0","0","0","0","238116","50000","188116"
"花蓮縣","14223500","1515793","196282","花蓮縣","516193","603806","199512","4741975","4644864","0","97111","花蓮縣","2391153","390064","29066","275040","1696983","1687723","287719","花蓮縣","791920","328891","9330","269863","246300","27700","218600","花蓮縣","1505000","1505000","0","1708421","1708421","142032","142032","花蓮縣","0","0","0","0","0","285103","35000","250103"
"澎湖縣","7657315","809212","117027","澎湖縣","171553","397433","123199","2089814","1777578","3829","308407","澎湖縣","1336266","411842","446166","382607","95651","991774","95095","澎湖縣","218772","467431","4971","205505","185147","3225","181922","澎湖縣","629080","629080","0","1157706","1157706","43220","43220","澎湖縣","0","315246","315246","0","0","99850","37000","62850"
"基隆市","17245518","2294004","258397","基隆市","304613","1434585","296409","4837622","4690416","0","147206","基隆市","3453936","149392","51349","2790635","462560","1813524","33400","基隆市","161294","1339606","13517","265707","681314","25480","655834","基隆市","1960242","1960242","0","1711676","1711676","132000","132000","基隆市","0","0","0","0","0","361200","20000","341200"
"新竹市","15942000","1714211","142487","新竹市","219445","936586","415693","4174417","3925348","0","249069","新竹市","4197571","103402","1844497","1890493","359179","1254602","38926","新竹市","36853","1035809","37120","105894","901411","18262","883149","新竹市","1559255","1559255","0","1384613","1384613","104920","104920","新竹市","0","0","0","0","0","651000","300000","351000"
"臺中市","28741564","3168400","268228","臺中市","408354","1994358","497460","14211601","13135603","0","1075998","臺中市","3452903","428313","479818","1847059","697713","2031803","147093","臺中市","157111","1504588","0","223011","1134794","12750","1122044","臺中市","799815","799815","0","3348330","3348330","243918","243918","臺中市","0","0","0","0","0","350000","50000","300000"
"嘉義市","10223927","1677529","318641","嘉義市","242060","886602","230226","2769905","2643052","0","126853","嘉義市","2032963","18072","5307","1752492","257092","647342","22414","嘉義市","384794","131596","8126","100412","482037","6256","475781","嘉義市","1250599","1250599","0","1072317","1072317","96875","96875","嘉義市","0","0","0","0","0","194360","15000","179360"
"臺南市","20350367","2582350","253495","臺南市","243414","1734238","351203","7615651","6911204","0","704447","臺南市","1916203","211496","60487","1299135","345085","1083764","936","臺南市","3808","915166","0","163854","1053593","15669","1037924","臺南市","2881081","2876906","4175","2533620","2533620","404049","404049","臺南市","0","0","0","0","0","280056","35000","245056"
"金門縣","8612090","1040675","128567","金門縣","316318","528832","66958","2038068","1490446","0","547622","金門縣","2699994","1193680","167526","1103462","235326","1256104","50120","金門縣","317652","611983","0","276349","332476","0","332476","金門縣","397110","395000","2110","461782","461782","0","0","金門縣","0","288881","0","288881","0","97000","20000","77000"
"連江縣","2747731","520718","61530","連江縣","286332","155791","17065","466291","405232","0","61059","連江縣","1195124","310960","16145","143954","724065","195570","3157","連江縣","14638","40352","0","137423","82529","50979","31550","連江縣","22808","22808","0","120671","120671","10000","10000","連江縣","0","77020","77020","0","0","57000","15000","42000"
"(經常門)",,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,"(經常門)",,,,,,,,
"總  計","411409361","46663074","4788338","總  計","7540816","27194507","7139413","173823581","169827869","3829","3991883","總  計","12686605","6384036","1554967","2263356","2484246","48542829","3767657","總  計","7609313","29358855","152399","7654605","11059942","805336","10254606","總  計","47070121","47063836","6285","52927788","52927788","7417676","7417676","總  計","0","1697284","876743","820541","0","9520461","2128370","7392091",,
"臺北縣","59193076","5387736","321412","臺北縣","967432","3361992","736900","24725234","24204196","0","521038","臺北縣","932863","303668","276004","243128","110063","7625022","295683","臺北縣","2256825","4270855","2482","799177","3182290","363251","2819039","臺北縣","7188744","7188744","0","7279762","7279762","1023953","1023953","臺北縣","0","0","0","0","0","1847472","490000","1357472"
"宜蘭縣","12485598","1316639","165018","宜蘭縣","253077","659581","238963","4851296","4652309","0","198987","宜蘭縣","547518","289876","109661","33818","114163","1541748","220561","宜蘭縣","575097","441664","0","304426","282787","30977","251810","宜蘭縣","1830782","1830782","0","1749893","1749893","208680","208680","宜蘭縣","0","12000","12000","0","0","144255","96000","48255"
"桃園縣","32731477","3781382","349569","桃園縣","790564","2089703","551546","15604737","15210023","0","394714","桃園縣","617732","221264","67676","170071","158721","3374510","186510","桃園縣","368195","2398236","0","421569","304678","11100","293578","桃園縣","3859116","3859116",,"3872774","3872774","521548","521548","桃園縣","0","0","0","0","0","795000","80000","715000"
"新竹縣","11988587","1604359","158855","新竹縣","212777","976581","256146","4952050","4830071","0","121979","新竹縣","440389","322214","37396","53909","26870","680949","107200","新竹縣","165748","136232","0","271769","134362","6797","127565","新竹縣","1968393","1968393","0","1330535","1330535","310000","310000","新竹縣","0","0","0","0","0","567550","361100","206450"
"苗栗縣","12559553","1589601","189492","苗栗縣","213297","921528","265284","5495890","5338680","0","157210","苗栗縣","269410","151393","60521","0","57496","619973","204261","苗栗縣","0","109790","5988","299934","132345","24145","108200","苗栗縣","2319640","2319640","0","1560512","1560512","333750","333750","苗栗縣","0","16000","0","16000","0","222432","80000","142432"
"臺中縣","30703330","2775114","343447","臺中縣","298834","1652694","480139","14506065","14237229","0","268836","臺中縣","664943","325509","58783","164853","115798","3586635","366224","臺中縣","335056","2415960","0","469395","362908","0","362908","臺中縣","2675378","2675378","0","3513129","3513129","716110","716110","臺中縣","0","0","0","0","0","1903048","60270","1842778"
"南投縣","15407858","1817934","230130","南投縣","277152","1049055","261597","5853324","5767384","0","85940","南投縣","416873","241922","90813","5920","78218","1954816","329699","南投縣","1149112","125368","8277","342360","69889","1164","68725","南投縣","2366793","2366793","0","1965541","1965541","190959","190959","南投縣","0","598431","598431","0","0","173298","24000","149298"
"彰化縣","26740408","2518472","248647","彰化縣","316641","1530089","423095","11362818","11140564","0","222254","彰化縣","576074","391755","45601","36973","101745","2887655","0","彰化縣","273042","2150159","35546","428908","308170","60908","247262","彰化縣","4466969","4466969","0","3815558","3815558","418240","418240","彰化縣","0","46152","46152","0","0","340300","70000","270300"
"雲林縣","17717431","1924455","211618","雲林縣","255974","1138812","318051","6494385","6398445","0","95940","雲林縣","770590","661813","31578","21162","56037","2570408","210601","雲林縣","313655","1695779","0","350373","142917","22948","119969","雲林縣","2903033","2903033","0","2124519","2124519","479254","479254","雲林縣","0","100000","100000","0","0","207870","0","207870"
"嘉義縣","15539984","1814807","193605","嘉義縣","293991","1092739","234472","7160802","7060841","0","99961","嘉義縣","534905","304861","62036","97362","70646","2607955","442173","嘉義縣","0","1788984","10356","366442","70869","0","70869","嘉義縣","554500","554500","0","1789715","1789715","536226","536226","嘉義縣","0","180160","16160","164000","0","290045","80000","210045"
"臺南縣","24550843","2689580","234162","臺南縣","356833","1685765","412820","9339397","9175957","0","163440","臺南縣","640306","301268","37089","75584","226365","3833258","0","臺南縣","14527","3279120","8201","531410","279117","40688","238429","臺南縣","3552814","3552814","0","3018742","3018742","563014","563014","臺南縣","0","314000","0","314000","0","320615","55000","265615"
"高雄縣","24609242","2618217","267513","高雄縣","333691","1573026","443987","12055858","11881588","0","174270","高雄縣","456826","246748","63448","58824","87806","3213071","512560","高雄縣","0","2185496","0","515015","982248","147483","834765","高雄縣","581700","581700","0","3531809","3531809","478928","478928","高雄縣","0","12000","12000","0","0","678585","150000","528585"
"屏東縣","21321240","2366414","271268","屏東縣","291382","1463738","340026","10949108","10765806","0","183302","屏東縣","854452","688545","85049","59832","21026","2644110","29949","屏東縣","2493","2052127","0","559541","407322","0","407322","屏東縣","477640","477640","0","2758888","2758888","400000","400000","屏東縣","0","209000","0","209000","0","254306","30000","224306"
"臺東縣","9222562","1143514","175998","臺東縣","199458","615017","153041","3138477","3051138","0","87339","臺東縣","232996","133176","6607","25239","67974","1522962","183376","臺東縣","281461","712670","8525","336930","89353","3950","85403","臺東縣","1319629","1319629","0","1477515","1477515","60000","60000","臺東縣","0","0","0","0","0","238116","50000","188116"
"花蓮縣","11348674","1416593","165893","花蓮縣","460491","591697","198512","4241323","4163011","0","78312","花蓮縣","367745","297403","21202","3607","45533","1679125","287719","花蓮縣","791920","328891","9330","261265","169863","27700","142163","花蓮縣","1505000","1505000","0","1684890","1684890","142032","142032","花蓮縣","0","0","0","0","0","142103","35000","107103"
"澎湖縣","5651190","756664","114207","澎湖縣","144170","379888","118399","1669804","1582618","3829","83357","澎湖縣","314757","157800","61306","0","95651","895070","95095","澎湖縣","141772","465841","4971","187391","33347","1225","32122","澎湖縣","629080","629080","0","1117398","1117398","43220","43220","澎湖縣","0","92000","92000","0","0","99850","37000","62850"
"基隆市","12736364","1889803","198042","基隆市","282529","1132313","276919","4170283","4047199","0","123084","基隆市","395593","96862","13777","87798","197156","1780155","33400","基隆市","161294","1321685","13517","250259","588257","22580","565677","基隆市","1960242","1960242","0","1633831","1633831","132000","132000","基隆市","0","0","0","0","0","186200","20000","166200"
"新竹市","11245520","1454205","139652","新竹市","210450","787230","316873","3773211","3604001","0","169210","新竹市","482466","52402","60887","200523","168654","1247446","38926","新竹市","36853","1030794","37080","103793","792374","18262","774112","新竹市","1559255","1559255","0","1340643","1340643","104920","104920","新竹市","0","0","0","0","0","491000","300000","191000"
"臺中市","23695155","2954402","264910","臺中市","394554","1826734","468204","12495595","12343557","0","152038","臺中市","780488","150032","119568","214581","296307","2001098","147093","臺中市","157111","1478469","0","218425","1126094","12750","1113344","臺中市","799815","799815","0","3233745","3233745","243918","243918","臺中市","0","0","0","0","0","60000","50000","10000"
"嘉義市","7789942","1323671","138321","嘉義市","188030","775765","221555","2531315","2425590","0","105725","嘉義市","234590","18072","5307","119246","91965","638373","22414","嘉義市","384794","130754","8126","92285","453440","6256","447184","嘉義市","1250599","1250599","0","1066719","1066719","96875","96875","嘉義市","0","0","0","0","0","194360","15000","179360"
"臺南市","16993132","2292179","249688","臺南市","223254","1473422","345815","6577177","6299717","0","277460","臺南市","715383","187996","56987","262980","207420","353470","936","臺南市","3808","189570","0","159156","1014097","973","1013124","臺南市","2881081","2876906","4175","2505640","2505640","404049","404049","臺南市","0","0","0","0","0","250056","35000","215056"
"金門縣","5682578","797972","105482","金門縣","306228","326258","60004","1477534","1293652","0","183882","金門縣","1170741","749877","167526","191012","62326","1093610","50120","金門縣","181912","610059","0","251519","114936","0","114936","金門縣","397110","395000","2110","436134","436134","0","0","金門縣","0","117541","0","117541","0","77000","0","77000"
"連江縣","1495617","429361","51409","連江縣","270007","90880","17065","397898","354293","0","43605","連江縣","268965","89580","16145","136934","26306","191410","3157","連江縣","14638","40352","0","133263","18279","2179","16100","連江縣","22808","22808","0","119896","119896","10000","10000","連江縣","0","0","0","0","0","37000","10000","27000"
"(資本門)",,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,"(資本門)",,,,,,,,
"總  計","123899760","8352258","666757","總  計","1295350","5708669","681482","24238017","20153145","0","4084872","總  計","63468555","12736561","4155053","33636710","12940231","6315540","0","總  計","687656","5294902","40","332942","11043346","1822593","9220753","總  計","0","0","0","2085665","2085665","0","0","總  計","0","4972820","4801480","171340","0","3423559","85000","3338559",
"臺北縣","19438993","1950803","47704","臺北縣","202659","1671740","28700","2594432","2100245","0","494187","臺北縣","8763510","2653435","20598","5885964","203513","244319","0","臺北縣","0","216323","0","27996","5539773","379523","5160250","臺北縣","0","0","0","346156","346156","0","0","臺北縣","0","0","0","0","0","0","0","0"
"宜蘭縣","4302232","527152","4000","宜蘭縣","133825","387869","1458","808632","602397","0","206235","宜蘭縣","1544981","433994","0","437417","673570","48866","0","宜蘭縣","0","27900","0","20966","809660","596640","213020","宜蘭縣","0","0","0","68732","68732","0","0","宜蘭縣","0","351209","351209","0","0","143000","0","143000"
"桃園縣","14907930","841550","67900","桃園縣","71689","670392","31569","5376165","5277828","0","98337","桃園縣","6404600","1453501","6600","4124555","819944","279253","0","桃園縣","0","202750","0","76503","1349744","78108","1271636","桃園縣","0","0","0","356618","356618","0","0","桃園縣","0","0","0","0","0","300000","0","300000"
"新竹縣","8080381","213748","3187","新竹縣","156120","43417","11024","920418","654118","0","266300","新竹縣","3442838","256830","75281","977206","2133521","2749537","0","新竹縣","0","2744960","0","4577","61798","0","61798","新竹縣","0","0","0","101513","101513","0","0","新竹縣","0","389360","389360","0","0","201169","0","201169"
"苗栗縣","5521783","71200","33390","苗栗縣","3926","28484","5400","409939","370245","0","39694","苗栗縣","2256108","109650","30600","2025324","90534","1143716","0","苗栗縣","0","1141620","0","2096","681193","101200","579993","苗栗縣","0","0","0","19897","19897","0","0","苗栗縣","0","758916","758916","0","0","180814","0","180814"
"臺中縣","8345915","584033","65200","臺中縣","31595","473658","13580","2665844","2556216","0","109628","臺中縣","3257467","411730","1000","2290420","554317","77131","0","臺中縣","0","40378","0","36753","493000","1000","492000","臺中縣","0","0","0","143827","143827","0","0","臺中縣","0","734120","734120","0","0","390493","0","390493"
"南投縣","4294480","306324","21367","南投縣","179970","97087","7900","94571","77893","0","16678","南投縣","3507510","1641300","852848","1013362","0","11786","0","南投縣","0","0","0","11786","113012","94762","18250","南投縣","0","0","0","64253","64253","0","0","南投縣","0","0","0","0","0","197024","0","197024"
"彰化縣","4715173","119881","57916","彰化縣","24445","32020","5500","1439570","1286720","0","152850","彰化縣","2460907","716995","0","759784","984128","81958","0","彰化縣","0","73523","0","8435","78090","13000","65090","彰化縣","0","0","0","219767","219767","0","0","彰化縣","0","0","0","0","0","315000","0","315000"
"雲林縣","6169558","72844","2885","雲林縣","7402","48477","14080","1410556","1319536","0","91020","雲林縣","3353457","874934","10635","1269861","1198027","14951","0","雲林縣","0","10030","0","4921","142862","0","142862","雲林縣","0","0","0","99317","99317","0","0","雲林縣","0","776571","776571","0","0","299000","60000","239000"
"嘉義縣","2546016","234193","13000","嘉義縣","149148","67745","4300","358604","342854","0","15750","嘉義縣","1025049","401201","16000","570243","37605","189222","0","嘉義縣","181000","660","0","7562","55550","0","55550","嘉義縣","0","0","0","41171","41171","0","0","嘉義縣","0","642227","642227","0","0","0","0","0"
"臺南縣","6101175","807374","848","臺南縣","23075","442492","340959","678080","634186","0","43894","臺南縣","3645092","1026541","200000","2282146","136405","45531","0","臺南縣","0","33699","0","11832","521242","489502","31740","臺南縣","0","0","0","97335","97335","0","0","臺南縣","0","0","0","0","0","306521","0","306521"
"高雄縣","4582362","185263","14180","高雄縣","67630","89381","14072","674777","674687","0","90","高雄縣","2143469","1003743","358631","781095","0","323512","0","高雄縣","293916","22050","0","7546","303450","0","303450","高雄縣","0","0","0","103080","103080","0","0","高雄縣","0","848811","848811","0","0","0","0","0"
"屏東縣","3931760","337745","9530","屏東縣","12439","296225","19551","936889","511499","0","425390","屏東縣","2332676","246497","5204","785887","1295088","7179","0","屏東縣","0","950",,"6229","29437","462","28975","屏東縣","0","0","0","35296","35296","0","0","屏東縣","0","0","0","0","0","252538","0","252538"
"臺東縣","1856162","92106","8600","臺東縣","2858","71638","9010","258336","234616","0","23720","臺東縣","1385506","89013","0","165250","1131243","16130","0","臺東縣","0","1052","0","15078","75621","0","75621","臺東縣","0","0","0","28463","28463","0","0","臺東縣","0","0","0","0","0","0","0","0"
"花蓮縣","2874826","99200","30389","花蓮縣","55702","12109","1000","500652","481853","0","18799","花蓮縣","2023408","92661","7864","271433","1651450","8598","0","花蓮縣","0","0","0","8598","76437","0","76437","花蓮縣","0","0","0","23531","23531","0","0","花蓮縣","0","0","0","0","0","143000","0","143000"
"澎湖縣","2006125","52548","2820","澎湖縣","27383","17545","4800","420010","194960","0","225050","澎湖縣","1021509","254042","384860","382607","0","96704","0","澎湖縣","77000","1590","0","18114","151800","2000","149800","澎湖縣","0","0","0","40308","40308","0","0","澎湖縣","0","223246","223246","0","0","0","0","0"
"基隆市","4509154","404201","60355","基隆市","22084","302272","19490","667339","643217","0","24122","基隆市","3058343","52530","37572","2702837","265404","33369","0","基隆市","0","17921","0","15448","93057","2900","90157","基隆市","0","0","0","77845","77845","0","0","基隆市","0","0","0","0","0","175000","0","175000"
"新竹市","4696480","260006","2835","新竹市","8995","149356","98820","401206","321347","0","79859","新竹市","3715105","51000","1783610","1689970","190525","7156","0","新竹市","0","5015","40","2101","109037","0","109037","新竹市","0","0","0","43970","43970","0","0","新竹市","0","0","0","0","0","160000","0","160000"
"臺中市","5046409","213998","3318","臺中市","13800","167624","29256","1716006","792046","0","923960","臺中市","2672415","278281","360250","1632478","401406","30705","0","臺中市","0","26119","0","4586","8700","0","8700","臺中市","0","0","0","114585","114585","0","0","臺中市","0","0","0","0","0","290000","0","290000"
"嘉義市","2433985","353858","180320","嘉義市","54030","110837","8671","238590","217462","0","21128","嘉義市","1798373","0","0","1633246","165127","8969","0","嘉義市","0","842","0","8127","28597","0","28597","嘉義市","0","0","0","5598","5598","0","0","嘉義市","0","0","0","0","0","0","0","0"
"臺南市","3357235","290171","3807","臺南市","20160","260816","5388","1038474","611487","0","426987","臺南市","1200820","23500","3500","1036155","137665","730294","0","臺南市","0","725596","0","4698","39496","14696","24800","臺南市","0","0","0","27980","27980","0","0","臺南市","0","0","0","0","0","30000","0","30000"
"金門縣","2929512","242703","23085","金門縣","10090","202574","6954","560534","196794","0","363740","金門縣","1529253","443803","0","912450","173000","162494","0","金門縣","135740","1924","0","24830","217540","0","217540","金門縣","0","0","0","25648","25648","0","0","金門縣","0","171340","0","171340","0","20000","20000","0"
"連江縣","1252114","91357","10121","連江縣","16325","64911","0","68393","50939","0","17454","連江縣","926159","221380","0","7020","697759","4160","0","連江縣","0","0","0","4160","64250","48800","15450","連江縣","0","0","0","775","775","0","0","連江縣","0","77020","77020","0","0","20000","5000","15000"

